Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
黄河清(1945),黄河清,,author,0,4,4,0,4,4,0.003715,1,1,1,6
上略 (n),上略,,notion,1,0,1,1,0,1,0.001412,2,0.571429,0.625,0
国军 (n),国军,,notion,1,0,1,1,0,1,0.001412,2,0.571429,0.625,0
汉皋 (n),汉皋,,notion,1,0,1,1,0,1,0.001412,2,0.571429,0.625,0
进驻 (n),进驻,,notion,1,0,1,1,0,1,0.001412,2,0.571429,0.625,0
黄海(1945),黄海,,author,0,5,5,0,5,5,0.144405,9,0.243263,0.266111,5980.317979
既得利益 (n),既得利益,,notion,1,0,1,1,0,1,0.010015,10,0.195681,0.206896,0
集团 (n),集团,,notion,1,0,1,1,0,1,0.010015,10,0.195681,0.206896,0
一周年 (n),一周年,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
一线 (n),一线,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
一线希望 (n),一线希望,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
中国教育学会 (n),中国教育学会,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
六十 (n),六十,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
哀词 (n),哀词,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
四绝 (n),四绝,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
客馆 (n),客馆,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
岁度 (n),岁度,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
岩楼 (n),岩楼,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
弗兰克 (n),弗兰克,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
悼词 (n),悼词,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
最要 (n),最要,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
朝鲜 (n),朝鲜,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
江学扎 (n),江学扎,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
江问 (n),江问,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
温泉 (n),温泉,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
统计 (n),统计,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
菁园 (n),菁园,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
那裏 (n),那裏,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
需求 (n),需求,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
黄炎培 (n),黄炎培,,notion,1,0,1,1,0,1,0.064232,8,0.227123,0.243884,0
黄药眠(1945),黄药眠,,author,0,8,8,0,8,8,0.076288,7,0.230686,0.251538,10937.450572
混乱 (n),混乱,,notion,1,0,1,1,0,1,0.006307,8,0.18746,0.197879,0
组成 (n),组成,,notion,1,0,1,1,0,1,0.006307,8,0.18746,0.197879,0
行列 (n),行列,,notion,1,0,1,1,0,1,0.006307,8,0.18746,0.197879,0
东条 (n),东条,,notion,1,0,1,1,0,1,0.002318,10,0.166548,0.173217,0
黄道庸(1945),黄道庸,,author,0,5,5,0,5,5,0.011511,9,0.19308,0.203317,13130.828867
