Id,Label,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
蒋平,蒋平,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
蒋恩钿,蒋恩钿,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
蒋无逆,蒋无逆,author,"#B4B4B4",86,154,0.006091,3,0.429554,0.452623,0
蒋某,蒋某,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
蒋源,蒋源,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
蒋笃才,蒋笃才,author,"#B4B4B4",1260,2384,0.751232,2,0.595368,0.660183,10767.091775
蒋阿英,蒋阿英,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
蒙毅,蒙毅,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
蒿目,蒿目,author,"#B4B4B4",730,2448,0.188759,2,0.551149,0.592804,2086.718682
蓝悒,蓝悒,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
蓝蒲珍,蓝蒲珍,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
蔚如,蔚如,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
蔡侯,蔡侯,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
蔡尚钰,蔡尚钰,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
蕴平,蕴平,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
蕴谛,蕴谛,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
薛愚,薛愚,author,"#B4B4B4",121,180,0.037716,3,0.495527,0.507246,0
虞人,虞人,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
蜀人,蜀人,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
衣锦,衣锦,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
