Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
断片,断片,notion,"#FFFF00",0,1,1,0,1,1,0.011454,4,0.280506,0.304337,0
斯大林,斯大林,notion,"#FFFF00",0,2,2,0,2,2,0.011335,4,0.277161,0.298999,922.809334
斯特,斯特,notion,"#FFFF00",0,2,2,0,2,2,0.018629,4,0.295266,0.326653,2114.017385
新华日报,新华日报,notion,"#FFFF00",0,1,1,0,1,1,0.001659,4,0.253302,0.256479,0
新型,新型,notion,"#FFFF00",0,4,4,0,4,4,0.031722,4,0.325179,0.365673,12453.249215
新形势下,新形势下,notion,"#FFFF00",0,1,1,0,1,1,0.004463,4,0.259973,0.269142,0
新战,新战,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
新春,新春,notion,"#FFFF00",0,2,2,0,4,4,0.019775,4,0.299214,0.332239,2302.815633
新欢,新欢,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
新版,新版,notion,"#FFFF00",0,2,2,0,2,2,0.01476,4,0.284052,0.309939,1221.382416
新的,新的,notion,"#FFFF00",0,1,1,0,1,1,0.005285,4,0.262245,0.273309,0
新着,新着,notion,"#FFFF00",0,2,2,0,2,2,0.020929,4,0.301601,0.335545,2389.682431
新花样,新花样,notion,"#FFFF00",0,3,3,0,3,3,0.023592,4,0.304232,0.339168,4376.351129
新装,新装,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
新貌,新貌,notion,"#FFFF00",0,1,1,0,1,1,0.004463,4,0.259973,0.269142,0
新途径,新途径,notion,"#FFFF00",0,1,1,0,1,1,0.006171,4,0.266197,0.280385,0
新闻,新闻,notion,"#FFFF00",0,8,8,0,13,13,0.054676,4,0.372994,0.415107,41411.07258
新闻报导,新闻报导,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
方针,方针,notion,"#FFFF00",0,6,6,0,9,9,0.044704,4,0.355747,0.398782,26880.414216
施政纲领,施政纲领,notion,"#FFFF00",0,2,2,0,2,2,0.008387,4,0.267817,0.283264,634.999185
旁听,旁听,notion,"#FFFF00",0,3,3,0,4,4,0.024905,4,0.312391,0.349899,7767.941448
旁听者,旁听者,notion,"#FFFF00",0,1,1,0,1,1,0.012494,4,0.283198,0.308574,0
旅印,旅印,notion,"#FFFF00",0,1,1,0,1,1,0.002288,4,0.254732,0.259249,0
旅美,旅美,notion,"#FFFF00",0,4,4,0,5,5,0.033031,4,0.322368,0.362322,8362.364679
旗子,旗子,notion,"#FFFF00",0,1,1,0,1,1,0.004463,4,0.259973,0.269142,0
无中,无中,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
无可奈何,无可奈何,notion,"#FFFF00",0,1,1,0,1,1,0.003103,4,0.257024,0.263625,0
无名,无名,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
无名肿毒,无名肿毒,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
