Id,Label,type,type2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,color
周鲸文,周鲸文,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
培雷维尔泰洛,培雷维尔泰洛,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
声扬,声扬,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
孙宗明,孙宗明,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
孟宪扬,孟宪扬,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
孟浪,孟浪,author,author,0,1,1,0,2,2,0.002337,6,0.233602,0.241207,0,"#B4B4B4"
安娥,安娥,author,author,0,2,2,0,3,3,0.019602,4,0.266095,0.280209,5280.594041,"#B4B4B4"
小玲,小玲,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
小诃,小诃,author,author,0,3,3,0,4,4,0.043915,4,0.285522,0.312227,53016.371303,"#B4B4B4"
岳光,岳光,author,author,0,4,4,0,7,7,0.056758,4,0.296055,0.32786,54019.037708,"#B4B4B4"
希苓,希苓,author,author,0,1,1,0,2,2,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
应理仁,应理仁,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
庸园,庸园,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
式如,式如,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
张中府,张中府,author,author,0,1,1,0,2,2,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
张印堂,张印堂,author,author,0,1,1,0,2,2,0.016708,6,0.261497,0.274576,0,"#B4B4B4"
张大雷,张大雷,author,author,0,1,1,0,2,2,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
张学良,张学良,author,author,0,1,1,0,2,2,0.008222,6,0.255285,0.262075,0,"#B4B4B4"
张文元,张文元,author,author,0,4,4,0,16,16,0.02554,4,0.269538,0.286323,15556.594867,"#B4B4B4"
张絅伯,张絅伯,author,author,0,3,3,0,10,10,0.026827,4,0.271056,0.288863,10382.804377,"#B4B4B4"
