Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
吴荣甲,吴荣甲,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
吴藻溪,吴藻溪,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
吴铁,吴铁,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
周依维,周依维,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
周先庚,周先庚,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
周振甫,周振甫,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
周斧冰,周斧冰,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
周波,周波,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
周煦良,周煦良,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
周知,周知,author,"#B4B4B4",0,2,2,0,2,2,0.016334,6,0.258467,0.275011,0.000428
唐庆增,唐庆增,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
唐弢,唐弢,author,"#B4B4B4",0,2,2,0,5,5,0.023958,6,0.267347,0.285888,0.000154
唐秉文,唐秉文,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
坦宁保姆,坦宁保姆,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
夏孟辉,夏孟辉,author,"#B4B4B4",0,1,1,0,4,4,0.015799,4,0.264026,0.276457,0
夏炎德,夏炎德,author,"#B4B4B4",0,7,7,0,10,10,0.095568,4,0.335911,0.378405,0.007831
夏迪蒙,夏迪蒙,author,"#B4B4B4",0,2,2,0,2,2,0.016334,6,0.258467,0.275011,0.000428
大愿,大愿,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
大荒,大荒,author,"#B4B4B4",0,1,1,0,1,1,0.011035,6,0.254049,0.266494,0
天凡,天凡,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
天父,天父,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
天顽,天顽,author,"#B4B4B4",0,1,1,0,2,2,0.009611,6,0.252652,0.263087,0
奥凯,奥凯,author,"#B4B4B4",0,1,1,0,2,2,0.005299,6,0.245803,0.253432,0
姚苏凤,姚苏凤,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
姜庆湘,姜庆湘,author,"#B4B4B4",0,5,5,0,6,6,0.045479,4,0.288414,0.316911,0.00245
姜鹏翊,姜鹏翊,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
