Id,Label,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
十字架,十字架,notion,notion,"#FFFF00",0,3,3,0,8,8,0.018157,4,0.300026,0.333381,6767.31167
十字街头,十字街头,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
十年,十年,notion,notion,"#FFFF00",0,10,10,0,15,15,0.054213,4,0.383527,0.424272,66617.799454
十年如一日,十年如一日,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00276,4,0.256685,0.262979,0
十数年,十数年,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001795,4,0.254284,0.258382,0
十粪,十粪,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
十读,十读,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
千千万万,千千万万,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
千岛,千岛,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
千百万,千百万,notion,notion,"#FFFF00",0,3,3,0,3,3,0.015382,4,0.290742,0.320076,4389.258682
千肯,千肯,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
卅日,卅日,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
升官,升官,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00276,4,0.256685,0.262979,0
半年,半年,notion,notion,"#FFFF00",0,8,8,0,12,12,0.046559,4,0.364928,0.407608,52206.959819
半日,半日,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001036,4,0.252248,0.254414,0
半月刊,半月刊,notion,notion,"#FFFF00",0,2,2,0,2,2,0.009032,4,0.271744,0.289992,805.544108
半殖民地,半殖民地,notion,notion,"#FFFF00",0,4,4,0,4,4,0.023394,4,0.308251,0.344523,10190.186768
华中,华中,notion,notion,"#FFFF00",0,5,5,0,5,5,0.016868,4,0.285956,0.312933,5421.344453
华南,华南,notion,notion,"#FFFF00",0,7,7,0,38,38,0.042856,4,0.351875,0.394876,35541.793011
华商报,华商报,notion,notion,"#FFFF00",0,2,2,0,2,2,0.013113,4,0.285339,0.31191,1834.527572
华士,华士,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
华战日,华战日,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
华盛顿,华盛顿,notion,notion,"#FFFF00",0,12,12,0,20,20,0.072619,4,0.434537,0.462584,110260.921976
华竟,华竟,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
华罗庚,华罗庚,notion,notion,"#FFFF00",0,3,3,0,4,4,0.012609,4,0.280877,0.304976,2344.797359
协和,协和,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
协商,协商,notion,notion,"#FFFF00",0,2,2,0,3,3,0.009917,4,0.276187,0.297393,1364.301217
协商会议,协商会议,notion,notion,"#FFFF00",0,3,3,0,3,3,0.014577,4,0.285063,0.311511,2868.379195
协国,协国,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
协定,协定,notion,notion,"#FFFF00",0,8,8,0,13,13,0.036189,4,0.332858,0.374606,32001.257799
协议,协议,notion,notion,"#FFFF00",0,4,4,0,4,4,0.023448,4,0.311773,0.349105,9451.500962
协进会,协进会,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
卓然,卓然,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00276,4,0.256685,0.262979,0
单帮,单帮,notion,notion,"#FFFF00",0,2,2,0,2,2,0.006861,4,0.267631,0.282923,1084.043345
单车,单车,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
南北,南北,notion,notion,"#FFFF00",0,6,6,0,8,8,0.026515,4,0.311102,0.348291,13670.986615
南北朝,南北朝,notion,notion,"#FFFF00",0,3,3,0,3,3,0.021269,4,0.30738,0.343347,6731.564863
南北极,南北极,notion,notion,"#FFFF00",0,2,2,0,2,2,0.015702,4,0.293298,0.323797,2139.717647
南宁,南宁,notion,notion,"#FFFF00",0,2,2,0,3,3,0.013113,4,0.285339,0.31191,1834.527572
南昌,南昌,notion,notion,"#FFFF00",0,4,4,0,10,10,0.022686,4,0.30643,0.342114,9561.926025
南洋群岛,南洋群岛,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
卡片,卡片,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
卡逊,卡逊,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
卢汉,卢汉,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006776,4,0.269878,0.286786,0
印关,印关,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
印刷业,印刷业,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003263,4,0.258179,0.265798,0
