Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
棉田(1948),棉田,notion,0,1,1,0,3,3,0.004718,4,0.258401,0.266227,0
欧洲(1948),欧洲,notion,0,5,5,0,14,14,0.054849,4,0.337012,0.379287,16545.47837
欧美(1948),欧美,notion,0,1,1,0,3,3,0.007515,4,0.262793,0.274313,0
民主主义(1948),民主主义,notion,0,4,4,0,6,6,0.028267,4,0.287425,0.315242,3567.203068
民国(1948),民国,notion,0,3,3,0,15,15,0.041213,4,0.319634,0.359011,6966.552281
汉口(1948),汉口,notion,0,5,5,0,15,15,0.063119,4,0.356523,0.399585,19068.097275
江南(1948),江南,notion,0,6,6,0,17,17,0.075729,4,0.383179,0.424032,33722.297132
游戏(1948),游戏,notion,0,1,1,0,3,3,0.009751,4,0.267186,0.282133,0
湖南(1948),湖南,notion,0,6,6,0,12,12,0.074069,4,0.37302,0.415147,26427.049155
演词(1948),演词,notion,0,2,2,0,7,7,0.01727,4,0.278352,0.300956,1619.09855
琼崖(1948),琼崖,notion,0,2,2,0,6,6,0.014769,4,0.273708,0.293336,1042.722106
电教(1948),电教,notion,0,1,1,0,5,5,0.004718,4,0.258401,0.266227,0
知识(1948),知识,notion,0,5,5,0,9,9,0.038978,4,0.309444,0.346244,12720.455986
知识份子(1948),知识份子,notion,0,9,9,0,27,27,0.083233,4,0.38857,0.428724,51987.896435
短讯(1948),短讯,notion,0,1,1,0,3,3,0.009739,4,0.265806,0.279704,0
石头城(1948),石头城,notion,0,2,2,0,4,4,0.021535,4,0.28397,0.309841,889.229879
社论(1948),社论,notion,0,3,3,0,11,11,0.036024,4,0.308631,0.345069,5629.029515
粤桂(1948),粤桂,notion,0,1,1,0,3,3,0.016518,4,0.278724,0.3015,0
纪念(1948),纪念,notion,0,11,11,0,65,65,0.099416,4,0.41201,0.447136,73571.432256
纲领(1948),纲领,notion,0,4,4,0,11,11,0.042608,4,0.316857,0.355639,8902.988374
维辛斯基(1948),维辛斯基,notion,0,1,1,0,3,3,0.009755,4,0.266617,0.281135,0
罢课(1948),罢课,notion,0,5,5,0,8,8,0.052817,4,0.329821,0.371201,12684.107444
美援(1948),美援,notion,0,9,9,0,30,30,0.101811,4,0.424391,0.455876,59468.092517
美苏(1948),美苏,notion,0,11,11,0,36,36,0.11945,4,0.471715,0.485536,97274.577453
联盟(1948),联盟,notion,0,4,4,0,6,6,0.052764,4,0.333274,0.375072,10282.282394
联邦(1948),联邦,notion,0,2,2,0,4,4,0.01727,4,0.278352,0.300956,1619.09855
自由(1948),自由,notion,0,15,15,0,37,37,0.134826,2,0.5005,0.500998,148023.942963
苏北(1948),苏北,notion,0,6,6,0,17,17,0.078791,4,0.382049,0.423067,29000.417271
苦诉(1948),苦诉,notion,0,1,1,0,4,4,0.016752,4,0.279138,0.302165,0
英美(1948),英美,notion,0,6,6,0,13,13,0.070901,4,0.371031,0.41335,28193.705026
草案(1948),草案,notion,0,4,4,0,6,6,0.035257,4,0.304651,0.339833,8565.420516
衣食住行(1948),衣食住行,notion,0,1,1,0,3,3,0.005017,4,0.257497,0.26453,0
言官(1948),言官,notion,0,1,1,0,3,3,0.007515,4,0.262793,0.274313,0
认识(1948),认识,notion,0,8,8,0,16,16,0.075807,4,0.376082,0.417987,40061.530728
评传(1948),评传,notion,0,1,1,0,4,4,0.007515,4,0.262793,0.274313,0
贝奈斯(1948),贝奈斯,notion,0,4,4,0,6,6,0.046755,4,0.329157,0.37038,12517.610147
责任(1948),责任,notion,0,4,4,0,13,13,0.043836,4,0.31977,0.359233,9983.778727
费边(1948),费边,notion,0,1,1,0,3,3,0.002332,4,0.253398,0.256677,0
费边社(1948),费边社,notion,0,1,1,0,3,3,0.002332,4,0.253398,0.256677,0
起源(1948),起源,notion,0,1,1,0,3,3,0.007515,4,0.262793,0.274313,0
转捩(1948),转捩,notion,0,1,1,0,3,3,0.01424,4,0.275514,0.296275,0
遗着(1948),遗着,notion,0,1,1,0,3,3,0.007515,4,0.262793,0.274313,0
那裏(1948),那裏,notion,0,2,2,0,4,4,0.030758,4,0.303347,0.337959,2812.221703
长沙(1948),长沙,notion,0,5,5,0,9,9,0.051923,4,0.331422,0.373031,13053.938191
集体(1948),集体,notion,0,9,9,0,21,21,0.093216,4,0.412689,0.447524,67705.014707
