Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
文宜(1945),文宜,,author,0,3,3,0,3,3,0.021228,9,0.235021,0.250992,4961.305359
妇女运动 (n),妇女运动,,notion,3,0,3,3,0,3,0.003217,10,0.204359,0.214441,78.70803
斯诺(1945),斯诺,,author,0,2,2,0,2,2,0.001844,9,0.199298,0.207489,275.109517
新武(1945),新武,,author,0,2,2,0,2,2,0.001538,11,0.192152,0.19924,564.061336
方与严(1945),方与严,,author,0,3,3,0,3,3,0.020892,9,0.233683,0.249486,15124.477653
有声 (n),有声,,notion,1,0,1,1,0,1,0.000801,10,0.189422,0.197336,0
造成 (n),造成,,notion,5,0,5,5,0,5,0.012496,10,0.229202,0.241577,3505.797506
方扬(1945),方扬,,author,0,2,2,0,2,2,0.000618,1,1,1,1
倒下 (n),倒下,,notion,1,0,1,1,0,1,0.000328,2,0.666667,0.75,0
悼歌 (n),悼歌,,notion,1,0,1,1,0,1,0.000328,2,0.666667,0.75,0
方治平(1945),方治平,,author,0,4,4,0,4,4,0.015383,9,0.22629,0.239892,2296.201189
措施 (n),措施,,notion,11,0,11,80,0,80,0.029193,9,0.244223,0.259392,38584.360316
最近 (n),最近,,notion,28,0,28,30,0,30,0.076133,8,0.259143,0.277914,193748.412236
方禺(1945),方禺,,author,0,2,2,0,2,2,0.001259,10,0.187105,0.194206,14532
小感 (n),小感,,notion,1,0,1,1,0,1,0.000343,11,0.157616,0.161773,0
施佑铭(1945),施佑铭,,author,0,3,3,0,3,3,0.006264,9,0.215697,0.226128,15138.14186
种种 (n),种种,,notion,13,0,13,13,0,13,0.018676,8,0.234007,0.247739,52772.374021
绍兴 (n),绍兴,,notion,1,0,1,1,0,1,0.000469,10,0.177429,0.182957,0
施复亮(1945),施复亮,,author,0,4,4,0,4,4,0.025122,9,0.233586,0.24939,16746.391211
亟应 (n),亟应,,notion,1,0,1,1,0,1,0.000901,10,0.189358,0.197266,0
解决 (n),解决,,notion,47,0,47,53,0,53,0.141214,8,0.268587,0.290126,368912.781234
复员 (n),复员,,notion,10,0,10,10,0,10,0.025789,9,0.240704,0.255646,56894.352464
明养(1945),明养,,author,0,6,6,0,6,6,0.028491,9,0.237394,0.254608,12770.190173
明子(1945),明子,,author,0,2,2,0,2,2,0.001517,10,0.195375,0.202794,494.865983
苏州 (n),苏州,,notion,7,0,7,7,0,7,0.004415,10,0.196421,0.20552,31384.34266
苦难 (n),苦难,,notion,12,0,12,12,0,12,0.025925,9,0.242059,0.256848,74899.642756
易水(1945),易水,,author,0,4,4,0,4,4,0.001664,10,0.185842,0.192741,591.424825
历史性 (n),历史性,,notion,2,0,2,2,0,2,0.00745,9,0.2218,0.234082,8069.754383
文件 (n),文件,,notion,3,0,3,3,0,3,0.002664,10,0.201391,0.211344,2286.217786
皇帝 (n),皇帝,,notion,2,0,2,2,0,2,0.001223,10,0.189867,0.197951,628.41092
闲话 (n),闲话,,notion,5,0,5,6,0,6,0.004607,9,0.211521,0.22258,50001.933151
春光(1945),春光,,author,0,5,5,0,5,5,0.006311,9,0.215313,0.225676,7136.155439
燕树棠 (n),燕树棠,,notion,2,0,2,2,0,2,0.00116,10,0.183927,0.190591,74.27089
笔下 (n),笔下,,notion,2,0,2,4,0,4,0.005584,10,0.219734,0.231577,773.539511
三八 (n),三八,,notion,4,0,4,4,0,4,0.00906,9,0.225272,0.237476,3464.520886
东欧 (n),东欧,,notion,5,0,5,6,0,6,0.00977,9,0.221807,0.234078,4771.472018
二次 (n),二次,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
内阁 (n),内阁,,notion,17,0,17,20,0,20,0.026646,9,0.241593,0.256005,122606.63531
冬季 (n),冬季,,notion,2,0,2,2,0,2,0.004903,10,0.212219,0.223439,1059.413187
妇女 (n),妇女,,notion,21,0,21,24,0,24,0.069811,8,0.257856,0.276118,140921.445883
妇女节 (n),妇女节,,notion,7,0,7,7,0,7,0.007806,9,0.216733,0.228663,28720.892153
就职 (n),就职,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
局面 (n),局面,,notion,12,0,12,15,0,15,0.029525,9,0.245014,0.259555,90908.932296
总统 (n),总统,,notion,27,0,27,29,0,29,0.069832,9,0.258479,0.276277,221218.456946
