Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
贾子心,贾子心,,author,0,2,10,0,2,12,0.001962,5,0.379096,0.396257,15.008626
贾才,贾才,,author,0,4,22,0,4,23,0.011822,4,0.429961,0.448034,150.466108
赵守愚,赵守愚,,author,0,17,300,0,17,668,0.213323,4,0.50373,0.529483,3001.422524
赵瑞生,赵瑞生,,author,0,3,22,0,3,25,0.010134,5,0.415762,0.435187,24.617361
赵迺抟,赵迺抟,,author,0,3,644,0,3,1345,0.556922,4,0.534542,0.579407,799.362418
越人,越人,,author,0,4,61,0,4,83,0.043394,5,0.454423,0.4725,83.801992
路维宽,路维宽,,author,0,1,17,0,1,17,0.012739,4,0.446341,0.461766,0
过客,过客,,author,0,2,20,0,2,23,0.013233,4,0.447147,0.462843,16.629549
进一,进一,,author,0,3,75,0,3,95,0.043879,4,0.467582,0.483912,11.399439
远云岚,远云岚,,author,0,2,5,0,2,6,0.003201,5,0.38503,0.402136,17.358113
远清,远清,,author,0,3,15,0,3,21,0.01028,4,0.447902,0.462933,1856
迟玉,迟玉,,author,0,3,19,0,3,22,0.010586,4,0.445057,0.460981,16.417214
透云,透云,,author,0,3,310,0,3,723,0.253648,4,0.502028,0.529304,337.215064
遇之,遇之,,author,0,4,47,0,4,54,0.02944,4,0.470305,0.483374,219.081721
道行,道行,,author,0,4,370,0,4,656,0.350139,4,0.509465,0.53949,197.920183
邑文,邑文,,author,0,2,12,0,2,20,0.009038,5,0.43176,0.449008,1.974151
邓钜经,邓钜经,,author,0,2,4,0,2,6,0.001113,5,0.35891,0.371486,0
邢慕寰,邢慕寰,,author,0,2,399,0,2,838,0.324101,4,0.510867,0.543035,325.160501
邱克勤,邱克勤,,author,0,7,461,0,7,809,0.393568,4,0.518136,0.553132,950.737703
邱吾,邱吾,,author,0,1,6,0,1,7,0.005509,4,0.443198,0.458288,0
邵循道,邵循道,,author,0,6,299,0,6,575,0.246719,4,0.500269,0.527172,650.555162
邵景圆,邵景圆,,author,0,5,129,0,5,283,0.073481,4,0.479535,0.497532,159.183928
邵燕平,邵燕平,,author,0,5,399,0,5,700,0.360339,4,0.513977,0.544943,655.993438
邵燕祥,邵燕祥,,author,0,2,4,0,2,6,0.001549,5,0.363583,0.377096,0.998292
郑义,郑义,,author,0,1,2,0,1,2,0.000097,5,0.301192,0.308024,0
郑伯彬,郑伯彬,,author,0,4,67,0,5,89,0.048808,4,0.461424,0.478505,54.354713
郑侠,郑侠,,author,0,3,123,0,3,180,0.041911,4,0.470842,0.490599,473.110407
郑克修,郑克修,,author,0,3,60,0,3,74,0.029224,4,0.459483,0.476261,208.867559
郑愼山,郑愼山,,author,0,3,45,0,3,55,0.027927,4,0.438644,0.457907,1645.39857
郑春泉,郑春泉,,author,0,3,90,0,3,123,0.060019,4,0.473604,0.489724,23.149112
郑若颖,郑若颖,,author,0,0,0,0,0,0,0,0,0,0,0
郭叔壬,郭叔壬,,author,0,3,387,0,3,703,0.357531,4,0.512842,0.543148,277.352983
郭少川,郭少川,,author,0,1,1,0,1,1,0.000233,5,0.327802,0.333149,0
郭梅荪,郭梅荪,,author,0,6,147,0,6,224,0.102509,4,0.482338,0.501189,533.05699
郭正,郭正,,author,0,3,25,0,3,30,0.012064,4,0.449039,0.464728,8.76002
郭萍鸣,郭萍鸣,,author,0,2,20,0,2,28,0.003174,5,0.378208,0.395764,232.132665
郭辛,郭辛,,author,0,5,49,0,5,63,0.028811,4,0.4521,0.469462,626.727393
鄢从善,鄢从善,,author,0,2,270,0,2,525,0.230592,4,0.496192,0.521832,0
野潮,野潮,,author,0,1,10,0,1,11,0.005662,4,0.415715,0.434078,0
金易,金易,,author,0,4,182,0,4,287,0.098171,4,0.491725,0.510837,676.296129
金源,金源,,author,0,3,35,0,3,46,0.017972,4,0.442617,0.460375,46.158965
金石,金石,,author,0,1,5,0,1,5,0.002651,5,0.36981,0.385048,0
金竟,金竟,,author,0,2,6,0,2,6,0.003953,5,0.389104,0.406556,0.710254
金若,金若,,author,0,3,16,0,3,18,0.00731,5,0.416321,0.435187,53.100961
金轮海,金轮海,,author,0,2,3,0,2,3,0.001768,5,0.368051,0.382413,0.061835
金重,金重,,author,0,3,38,0,3,103,0.02618,4,0.463902,0.477697,241.58476
鉴清,鉴清,,author,0,1,14,0,1,17,0.010101,4,0.444684,0.460173,0
钟唐,钟唐,,author,0,4,254,0,4,476,0.202216,4,0.496524,0.520643,212.314422
钟敬文,钟敬文,,author,0,2,34,0,2,38,0.021123,4,0.454924,0.470337,18.175739
钟杰,钟杰,,author,0,2,12,0,2,12,0.007575,4,0.402514,0.421177,0.391149
钱克新,钱克新,,author,0,3,79,0,3,122,0.061664,4,0.475362,0.490015,77.567057
钱塘潮,钱塘潮,,author,0,3,5,0,3,6,0.001873,5,0.368051,0.382615,0.361198
钱墨林,钱墨林,,author,0,5,98,0,5,211,0.049327,4,0.470663,0.488243,371.514013
