Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
万×(1948),万×,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
上官芳(1948),上官芳,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
世贤(1948),世贤,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
丘克辉(1948),丘克辉,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
业同(1948),业同,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
东旭(1948),东旭,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
东阳(1948),东阳,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
严中平(1948),严中平,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
严凌(1948),严凌,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
严景耀(1948),严景耀,,author,"#B4B4B4",0,2,125,0,2,268,0.087143,3,0.481021,0.515193,6.67116
严经文(1948),严经文,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
乃德(1948),乃德,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
之万(1948),之万,,author,"#B4B4B4",0,1,141,0,1,279,0.06734,3,0.466075,0.50771,0
乐希(1948),乐希,,author,"#B4B4B4",0,1,141,0,1,279,0.06734,3,0.466075,0.50771,0
乐知先(1948),乐知先,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
乡少(1948),乡少,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
于人(1948),于人,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
于彦威(1948),于彦威,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
于文(1948),于文,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
云仙(1948),云仙,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
云峰(1948),云峰,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
云庸(1948),云庸,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
亚尔撲提（Gordon_W._Allport）(1948),亚尔撲提（Gordon_W._Allport）,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
从心(1948),从心,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
仲臬(1948),仲臬,,author,"#B4B4B4",0,1,141,0,1,279,0.06734,3,0.466075,0.50771,0
仲鲁(1948),仲鲁,,author,"#B4B4B4",0,2,618,0,2,1251,0.831094,2,0.633075,0.710204,9773.302913
任自涛(1948),任自涛,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
伍丹戈(1948),伍丹戈,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
伯恺(1948),伯恺,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
伯骆(1948),伯骆,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
似彭(1948),似彭,,author,"#B4B4B4",0,1,141,0,1,279,0.06734,3,0.466075,0.50771,0
似潜(1948),似潜,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
伽赐(1948),伽赐,,author,"#B4B4B4",0,1,48,0,1,69,0.00616,3,0.444781,0.469501,0
佑黄(1948),佑黄,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
何仪(1948),何仪,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
何国樑(1948),何国樑,,author,"#B4B4B4",0,1,141,0,1,279,0.06734,3,0.466075,0.50771,0
何安民(1948),何安民,,author,"#B4B4B4",0,1,121,0,1,180,0.084925,3,0.480392,0.513832,0
何少逸(1948),何少逸,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
何敏(1948),何敏,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
何泛(1948),何泛,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
何爱芬(1948),何爱芬,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
何畏之(1948),何畏之,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
何荷(1948),何荷,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
何锺斌(1948),何锺斌,,author,"#B4B4B4",0,1,141,0,1,279,0.06734,3,0.466075,0.50771,0
余介邦(1948),余介邦,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
余信华(1948),余信华,,author,"#B4B4B4",0,1,110,0,1,212,0.016732,3,0.422292,0.463605,0
余友才(1948),余友才,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
余友直(1948),余友直,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
余宁旺(1948),余宁旺,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
余思文(1948),余思文,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
余望白(1948),余望白,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
余鑫年(1948),余鑫年,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
佚名(1948),佚名,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
侯国聪(1948),侯国聪,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
侯外庐(1948),侯外庐,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
侯庭督(1948),侯庭督,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
侯玉文(1948),侯玉文,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
俞元程(1948),俞元程,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
俞平伯(1948),俞平伯,,author,"#B4B4B4",0,2,125,0,2,268,0.087143,3,0.481021,0.515193,6.67116
倍原(1948),倍原,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
健民(1948),健民,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
健飞(1948),健飞,,author,"#B4B4B4",0,1,48,0,1,69,0.00616,3,0.444781,0.469501,0
傅理门(1948),傅理门,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
傅菊人(1948),傅菊人,,author,"#B4B4B4",0,1,110,0,1,212,0.016732,3,0.422292,0.463605,0
光·谟(1948),光·谟,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
光夫(1948),光夫,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
克萍(1948),克萍,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
全一毛(1948),全一毛,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
公羽(1948),公羽,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
再珠(1948),再珠,,author,"#B4B4B4",0,1,110,0,1,212,0.016732,3,0.422292,0.463605,0
冯一民(1948),冯一民,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
冯友兰(1948),冯友兰,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
冯启康(1948),冯启康,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
冯善基(1948),冯善基,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
冯宾符(1948),冯宾符,,author,"#B4B4B4",0,1,121,0,1,180,0.084925,3,0.480392,0.513832,0
冯法禩(1948),冯法禩,,author,"#B4B4B4",0,2,125,0,2,268,0.087143,3,0.481021,0.515193,6.67116
冯秀凡(1948),冯秀凡,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
冯静甫(1948),冯静甫,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
况自(1948),况自,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
冷荻(1948),冷荻,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
冷遹(1948),冷遹,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
凌之上(1948),凌之上,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
凌冰(1948),凌冰,,author,"#B4B4B4",0,2,400,0,2,937,0.415588,3,0.558299,0.62551,1841.728231
凌雪(1948),凌雪,,author,"#B4B4B4",0,1,233,0,1,412,0.205087,3,0.505502,0.556463,0
凡人(1948),凡人,,author,"#B4B4B4",0,1,121,0,1,180,0.084925,3,0.480392,0.513832,0
划大中(1948),划大中,,author,"#B4B4B4",0,1,141,0,1,279,0.06734,3,0.466075,0.50771,0
刘世海(1948),刘世海,,author,"#B4B4B4",0,1,141,0,1,279,0.06734,3,0.466075,0.50771,0
刘中定(1948),刘中定,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
刘仁福(1948),刘仁福,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
刘以德(1948),刘以德,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
刘勉(1948),刘勉,,author,"#B4B4B4",0,2,125,0,2,268,0.087143,3,0.481021,0.515193,6.67116
刘培仁(1948),刘培仁,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
刘学濬(1948),刘学濬,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
