Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
后果 (n),后果,,notion,4,0,127,922,0.048021,5,0.447943,0.472374,6491.276763
威胁 (n),威胁,,notion,5,0,49,53,0.009783,5,0.37336,0.395413,5953.816504
中大 (n),中大,,notion,2,0,613,1124,0.925988,4,0.497443,0.547804,4110.896329
回到 (n),回到,,notion,2,0,60,71,0.014199,5,0.394938,0.419158,5150.186236
剥削 (n),剥削,,notion,1,0,19,19,0.002942,5,0.36321,0.382317,0
惠鉴 (n),惠鉴,,notion,1,0,8,9,0.000634,5,0.346594,0.360972,0
同志 (n),同志,,notion,3,0,73,87,0.020368,5,0.416575,0.441336,982.144312
回来 (n),回来,,notion,1,0,1,1,0.000062,6,0.298182,0.30642,0
何处 (n),何处,,notion,6,0,66,95,0.022526,5,0.422339,0.4457,2703.518887
夏天 (n),夏天,,notion,2,0,23,27,0.002245,5,0.348094,0.365144,375.976659
青岛 (n),青岛,,notion,6,0,19,24,0.006776,5,0.373326,0.393042,11784.79798
不愿 (n),不愿,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
察哈尔 (n),察哈尔,,notion,1,0,14,16,0.008446,5,0.377846,0.397541,0
应由 (n),应由,,notion,1,0,16,22,0.007674,5,0.401999,0.422485,0
大事 (n),大事,,notion,1,0,611,2240,0.925943,4,0.497324,0.547565,0
因果 (n),因果,,notion,1,0,8,8,0.005247,5,0.382127,0.401913,0
黩武 (n),黩武,,notion,2,0,5,5,0.001961,5,0.354737,0.370584,8360
两条道路 (n),两条道路,,notion,1,0,123,158,0.054084,5,0.438043,0.46426,0
中间派 (n),中间派,,notion,1,0,20,69,0.009459,5,0.394342,0.41522,0
反动 (n),反动,,notion,2,0,140,183,0.058449,5,0.440072,0.467328,483.274885
执行 (n),执行,,notion,1,0,19,19,0.003017,5,0.356522,0.374354,0
敬告 (n),敬告,,notion,2,0,4,4,0.001873,5,0.361202,0.378077,4181
漫天 (n),漫天,,notion,2,0,40,47,0.021104,5,0.40677,0.428957,545.751926
进言 (n),进言,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
