"Id","Label"
"汪洋(1945)","汪洋"
"沈兹九(1945)","沈兹九"
"沈南乡(1945)","沈南乡"
"沈来秋(1945)","沈来秋"
"沈若谷(1945)","沈若谷"
"沈钧儒(1945)","沈钧儒"
"沙溪(1945)","沙溪"
"波克希谢夫斯基(1945)","波克希谢夫斯基"
"波诺马列夫(1945)","波诺马列夫"
"洛明(1945)","洛明"
"洪涛(1945)","洪涛"
"洪谦(1945)","洪谦"
"洪钧培(1945)","洪钧培"
"派夫劳夫(1945)","派夫劳夫"
"济之(1945)","济之"
"浩川(1945)","浩川"
"海密尔克(1945)","海密尔克"
"海魂(1945)","海魂"
"涵先(1945)","涵先"
"淑林(1945)","淑林"
"深公(1945)","深公"
"清涟(1945)","清涟"
"渠之(1945)","渠之"
"游牧(1945)","游牧"
"湘渔(1945)","湘渔"
"潘光旦(1945)","潘光旦"
"潘大逵(1945)","潘大逵"
"潘孑农(1945)","潘孑农"
"潘安业(1945)","潘安业"
"潘梓年(1945)","潘梓年"
"潘焕昆(1945)","潘焕昆"
"潘立桐(1945)","潘立桐"
"灕流(1945)","灕流"
"炎火(1945)","炎火"
"焦敏之(1945)","焦敏之"
"爱思金(1945)","爱思金"
"特戈尔(1945)","特戈尔"
"特罗扬诺夫斯基(1945)","特罗扬诺夫斯基"
"特莱宁(1945)","特莱宁"
"特鲁曼(1945)","特鲁曼"
"独郑步(1945)","独郑步"
"玉良(1945)","玉良"
"王__(1945)","王__"
"王光汉(1945)","王光汉"
"王善淳(1945)","王善淳"
"王子敬(1945)","王子敬"
"王季(1945)","王季"
"王文新(1945)","王文新"
"王正廷(1945)","王正廷"
"王琦(1945)","王琦"
"王申叔(1945)","王申叔"
"王碎若(1945)","王碎若"
"王绍鏊(1945)","王绍鏊"
"王若飞(1945)","王若飞"
"王赣愚(1945)","王赣愚"
"王铁猴(1945)","王铁猴"
"王集丛(1945)","王集丛"
"王雨桐(1945)","王雨桐"
"王龄希(1945)","王龄希"
"甘乃先(1945)","甘乃先"
"甘乃光(1945)","甘乃光"
"甘敏(1945)","甘敏"
"田宗(1945)","田宗"
"田禾(1945)","田禾"
"申迟(1945)","申迟"
"白英(1945)","白英"
"白鲁特(1945)","白鲁特"
