"Id","Label","type"
"Hogg，P.(1945)","Hogg，P.","author"
"Milner，I.(1945)","Milner，I.","author"
"一学生(1945)","一学生","author"
"一民(1945)","一民","author"
"一生(1945)","一生","author"
"丁一(1945)","丁一","author"
"丁易(1945)","丁易","author"
"丁玲(1945)","丁玲","author"
"丁聪(1945)","丁聪","author"
"丁西林(1945)","丁西林","author"
"万英(1945)","万英","author"
"不耳(1945)","不耳","author"
"丘八大(1945)","丘八大","author"
"东方晦之(1945)","东方晦之","author"
"严亚明(1945)","严亚明","author"
"严信民(1945)","严信民","author"
"严克(1945)","严克","author"
"严奇(1945)","严奇","author"
"严延(1945)","严延","author"
"严景矅(1945)","严景矅","author"
"丹尼尔(1945)","丹尼尔","author"
"于蒪(1945)","于蒪","author"
"亚槐(1945)","亚槐","author"
"以君(1945)","以君","author"
"任华(1945)","任华","author"
"任四维(1945)","任四维","author"
"伊利奥特(1945)","伊利奥特","author"
"伍同伐(1945)","伍同伐","author"
"伍启元(1945)","伍启元","author"
"伯伟(1945)","伯伟","author"
"伯华(1945)","伯华","author"
"伯韩(1945)","伯韩","author"
"何其芳(1945)","何其芳","author"
"何惧(1945)","何惧","author"
"何方(1945)","何方","author"
"何达(1945)","何达","author"
"余伯约(1945)","余伯约","author"
"余剡溪(1945)","余剡溪","author"
"侯外卢(1945)","侯外卢","author"
"侯外庐(1945)","侯外庐","author"
"俊生(1945)","俊生","author"
"俞焕文(1945)","俞焕文","author"
"傅彬然(1945)","傅彬然","author"
"傅雷(1945)","傅雷","author"
"光涛(1945)","光涛","author"
"克士(1945)","克士","author"
"全杨(1945)","全杨","author"
"公健(1945)","公健","author"
"公孙未央(1945)","公孙未央","author"
"其良(1945)","其良","author"
"再生侯北人(1945)","再生侯北人","author"
"冯乃超(1945)","冯乃超","author"
"冯克(1945)","冯克","author"
"冯少山(1945)","冯少山","author"
"冶人(1945)","冶人","author"
"冷红(1945)","冷红","author"
"冷遹(1945)","冷遹","author"
"冷风(1945)","冷风","author"
"凤子(1945)","凤子","author"
"刘尊棋(1945)","刘尊棋","author"
"刘清扬(1945)","刘清扬","author"
"刘瑞林(1945)","刘瑞林","author"
"刘逸(1945)","刘逸","author"
"刘铁华(1945)","刘铁华","author"
"力扬(1945)","力扬","author"
"劳莹(1945)","劳莹","author"
"北人(1945)","北人","author"
"千里(1945)","千里","author"
"华心(1945)","华心","author"
"华臣(1945)","华臣","author"
"华阳(1945)","华阳","author"
"卢剑公(1945)","卢剑公","author"
"卢铎(1945)","卢铎","author"
"友非(1945)","友非","author"
"反对内战(1945)","反对内战","author"
"叔伟(1945)","叔伟","author"
"史国卫(1945)","史国卫","author"
"史笃(1945)","史笃","author"
"叶君(1945)","叶君","author"
"叶圣陶(1945)","叶圣陶","author"
"叶文雄(1945)","叶文雄","author"
"司马星(1945)","司马星","author"
"吉人(1945)","吉人","author"
"吕剑(1945)","吕剑","author"
"吕德润(1945)","吕德润","author"
"君山(1945)","君山","author"
"吴世昌(1945)","吴世昌","author"
"吴大琨(1945)","吴大琨","author"
"吴斐丹(1945)","吴斐丹","author"
"吴晓(1945)","吴晓","author"
"吴清友(1945)","吴清友","author"
"吴王琨(1945)","吴王琨","author"
"吴祖光(1945)","吴祖光","author"
"吴纪(1945)","吴纪","author"
"吴荣甲(1945)","吴荣甲","author"
"吴藻溪(1945)","吴藻溪","author"
"吴铁(1945)","吴铁","author"
"周予同(1945)","周予同","author"
"周伯棣(1945)","周伯棣","author"
"周依维(1945)","周依维","author"
"周先庚(1945)","周先庚","author"
"周振甫(1945)","周振甫","author"
"周斧冰(1945)","周斧冰","author"
"周新民(1945)","周新民","author"
"周波(1945)","周波","author"
"周煦良(1945)","周煦良","author"
"周知(1945)","周知","author"
"唐庆增(1945)","唐庆增","author"
"唐弢(1945)","唐弢","author"
"唐言(1945)","唐言","author"
"坦宁保姆(1945)","坦宁保姆","author"
"夏炎德(1945)","夏炎德","author"
"夏衍(1945)","夏衍","author"
"夏迪蒙(1945)","夏迪蒙","author"
"外卢(1945)","外卢","author"
"大愿(1945)","大愿","author"
"大荒(1945)","大荒","author"
"天凡(1945)","天凡","author"
"天父(1945)","天父","author"
"天顽(1945)","天顽","author"
"夷初(1945)","夷初","author"
"奥凯(1945)","奥凯","author"
"奴齐(1945)","奴齐","author"
"姚苏凤(1945)","姚苏凤","author"
"姜庆湘(1945)","姜庆湘","author"
"姜鹏翊(1945)","姜鹏翊","author"
"娄立齐(1945)","娄立齐","author"
"子冈(1945)","子冈","author"
"子敬(1945)","子敬","author"
"存真(1945)","存真","author"
"孙亚夫(1945)","孙亚夫","author"
"孙起孟(1945)","孙起孟","author"
"孟心坚(1945)","孟心坚","author"
"孟昌(1945)","孟昌","author"
"安约吾(1945)","安约吾","author"
"安逸(1945)","安逸","author"
"宣谛之(1945)","宣谛之","author"
"宦乡(1945)","宦乡","author"
"宧乡(1945)","宧乡","author"
"寿生(1945)","寿生","author"
"尊立(1945)","尊立","author"
"小羽(1945)","小羽","author"
"少之(1945)","少之","author"
"尔咸(1945)","尔咸","author"
"尚丁(1945)","尚丁","author"
"尚钺(1945)","尚钺","author"
"尚铖(1945)","尚铖","author"
"尚青禾(1945)","尚青禾","author"
"左舜生(1945)","左舜生","author"
"巴尔契斯基(1945)","巴尔契斯基","author"
"巴金(1945)","巴金","author"
"师陀(1945)","师陀","author"
"庄圻泰(1945)","庄圻泰","author"
"庄永(1945)","庄永","author"
"张东皋(1945)","张东皋","author"
"张东荪(1945)","张东荪","author"
"张凤举(1945)","张凤举","author"
"张刚(1945)","张刚","author"
"张大任(1945)","张大任","author"
"张子毅(1945)","张子毅","author"
"张宏(1945)","张宏","author"
"张志让(1945)","张志让","author"
"张志龢(1945)","张志龢","author"
"张恨水(1945)","张恨水","author"
"张时俊(1945)","张时俊","author"
"张明养(1945)","张明养","author"
"张栋举(1945)","张栋举","author"
"张淦(1945)","张淦","author"
"张澜(1945)","张澜","author"
"张珏(1945)","张珏","author"
"张竞存(1945)","张竞存","author"
"张若达(1945)","张若达","author"
"张西曼(1945)","张西曼","author"
"张远昕(1945)","张远昕","author"
"张雪澄(1945)","张雪澄","author"
"张鸿增(1945)","张鸿增","author"
"彭松(1945)","彭松","author"
"徐修(1945)","徐修","author"
"徐如免(1945)","徐如免","author"
"徐撤(1945)","徐撤","author"
"徐系(1945)","徐系","author"
"徐调孚(1945)","徐调孚","author"
"徐郎(1945)","徐郎","author"
"徐铸成(1945)","徐铸成","author"
"戎戈(1945)","戎戈","author"
"戴寒波(1945)","戴寒波","author"
"房龙(1945)","房龙","author"
"托尔斯泰(1945)","托尔斯泰","author"
"抱贞(1945)","抱贞","author"
"拉铁摩尔(1945)","拉铁摩尔","author"
"振寰(1945)","振寰","author"
"敏之(1945)","敏之","author"
"文宜(1945)","文宜","author"
"斯诺(1945)","斯诺","author"
"新武(1945)","新武","author"
"方与严(1945)","方与严","author"
"方扬(1945)","方扬","author"
"方治平(1945)","方治平","author"
"方禺(1945)","方禺","author"
"施佑铭(1945)","施佑铭","author"
"施复亮(1945)","施复亮","author"
"明养(1945)","明养","author"
"明子(1945)","明子","author"
"易水(1945)","易水","author"
"春光(1945)","春光","author"
"晓敷(1945)","晓敷","author"
"晓歌(1945)","晓歌","author"
"晶远(1945)","晶远","author"
"曹介植(1945)","曹介植","author"
"曹樸(1945)","曹樸","author"
"曹萝阳(1945)","曹萝阳","author"
"曾昭抡(1945)","曾昭抡","author"
"曾瑞(1945)","曾瑞","author"
"月伶(1945)","月伶","author"
"朝华(1945)","朝华","author"
"木林(1945)","木林","author"
"朱健飞(1945)","朱健飞","author"
"朱彬元(1945)","朱彬元","author"
"朱洗(1945)","朱洗","author"
"朱自珍(1945)","朱自珍","author"
"李健吾(1945)","李健吾","author"
"李兆(1945)","李兆","author"
"李兆安(1945)","李兆安","author"
"李公朴(1945)","李公朴","author"
"李公樸(1945)","李公樸","author"
"李凌飞(1945)","李凌飞","author"
"李及(1945)","李及","author"
"李善卷(1945)","李善卷","author"
"李时中(1945)","李时中","author"
"李玄伯(1945)","李玄伯","author"
"李自强(1945)","李自强","author"
"杜迈之(1945)","杜迈之","author"
"来秋(1945)","来秋","author"
"杨佑贤(1945)","杨佑贤","author"
"杨作雨(1945)","杨作雨","author"
"杨刚(1945)","杨刚","author"
"杨动(1945)","杨动","author"
"杨卫玉(1945)","杨卫玉","author"
"杨学纯(1945)","杨学纯","author"
"杨宗亿(1945)","杨宗亿","author"
"杨愚(1945)","杨愚","author"
"杨穗(1945)","杨穗","author"
"杨荣国(1945)","杨荣国","author"
"杨蔚(1945)","杨蔚","author"
"杨霁云(1945)","杨霁云","author"
"林松(1945)","林松","author"
"林汉达(1945)","林汉达","author"
"林焕平(1945)","林焕平","author"
"林谷(1945)","林谷","author"
"林陵蓉(1945)","林陵蓉","author"
"柏寒(1945)","柏寒","author"
"柏有仁(1945)","柏有仁","author"
"柯灵(1945)","柯灵","author"
"柳蕴(1945)","柳蕴","author"
"树鹃(1945)","树鹃","author"
"桑弧(1945)","桑弧","author"
"梁漱溟(1945)","梁漱溟","author"
"梁纯夫(1945)","梁纯夫","author"
"梅兰芳(1945)","梅兰芳","author"
"梅湜(1945)","梅湜","author"
"梧轩(1945)","梧轩","author"
"楚图南(1945)","楚图南","author"
"欧罗(1945)","欧罗","author"
"正非(1945)","正非","author"
"毅生(1945)","毅生","author"
"民语(1945)","民语","author"
"永先(1945)","永先","author"
"求思(1945)","求思","author"
"汝德(1945)","汝德","author"
"江同(1945)","江同","author"
"汤心仪(1945)","汤心仪","author"
"汪大煊(1945)","汪大煊","author"
"沈兹九(1945)","沈兹九","author"
"沈来秋(1945)","沈来秋","author"
"沈涛(1945)","沈涛","author"
"沈若谷(1945)","沈若谷","author"
"沈钧儒(1945)","沈钧儒","author"
"沙溪(1945)","沙溪","author"
"洛扬(1945)","洛扬","author"
"洛明(1945)","洛明","author"
"洪谦(1945)","洪谦","author"
"济之(1945)","济之","author"
"浩川(1945)","浩川","author"
"海魂(1945)","海魂","author"
"涵先(1945)","涵先","author"
"深公(1945)","深公","author"
"清涟(1945)","清涟","author"
"渠之(1945)","渠之","author"
"游牧(1945)","游牧","author"
"湘渔(1945)","湘渔","author"
"潘光旦(1945)","潘光旦","author"
"潘安业(1945)","潘安业","author"
"潘梓年(1945)","潘梓年","author"
"潘焕昆(1945)","潘焕昆","author"
"潘立桐(1945)","潘立桐","author"
"潮声(1945)","潮声","author"
"炎火(1945)","炎火","author"
"焦敏之(1945)","焦敏之","author"
"爱思金(1945)","爱思金","author"
"独郑步(1945)","独郑步","author"
"王__(1945)","王__","author"
"王善淳(1945)","王善淳","author"
"王子敬(1945)","王子敬","author"
"王少燕(1945)","王少燕","author"
"王沿津(1945)","王沿津","author"
"王琦(1945)","王琦","author"
"王碎若(1945)","王碎若","author"
"王绍鏊(1945)","王绍鏊","author"
"王若飞(1945)","王若飞","author"
"王赣愚(1945)","王赣愚","author"
"王铁华(1945)","王铁华","author"
"王铁猴(1945)","王铁猴","author"
"王雨桐(1945)","王雨桐","author"
"珂田(1945)","珂田","author"
"甘敏(1945)","甘敏","author"
"白英(1945)","白英","author"
"百辞(1945)","百辞","author"
"直心(1945)","直心","author"
"瞿荆洲(1945)","瞿荆洲","author"
"知廉(1945)","知廉","author"
"石城(1945)","石城","author"
"石如(1945)","石如","author"
"石梅(1945)","石梅","author"
"石渊(1945)","石渊","author"
"祝公健(1945)","祝公健","author"
"秉志(1945)","秉志","author"
"秋原(1945)","秋原","author"
"秋斯(1945)","秋斯","author"
"程力方(1945)","程力方","author"
"程及(1945)","程及","author"
"程启钧(1945)","程启钧","author"
"穆欣(1945)","穆欣","author"
"穆涛(1945)","穆涛","author"
"立垒(1945)","立垒","author"
"章乃器(1945)","章乃器","author"
"章伯钧(1945)","章伯钧","author"
"章榴(1945)","章榴","author"
"章锡琛(1945)","章锡琛","author"
"童润之(1945)","童润之","author"
"端木泉(1945)","端木泉","author"
"竹云龙(1945)","竹云龙","author"
"笪移今(1945)","笪移今","author"
"简樸(1945)","简樸","author"
"索非(1945)","索非","author"
"纪鲁(1945)","纪鲁","author"
"绀弩(1945)","绀弩","author"
"罗任一(1945)","罗任一","author"
"罗加正(1945)","罗加正","author"
"罗努生(1945)","罗努生","author"
"罗尔鲍(1945)","罗尔鲍","author"
"罗斯福(1945)","罗斯福","author"
"罗稷南(1945)","罗稷南","author"
"罗贝慈(1945)","罗贝慈","author"
"翁文灏(1945)","翁文灏","author"
"翁逸之(1945)","翁逸之","author"
"翦伯赞(1945)","翦伯赞","author"
"耀羣(1945)","耀羣","author"
"老圣(1945)","老圣","author"
"老舍(1945)","老舍","author"
"耿介怀(1945)","耿介怀","author"
"耿济之(1945)","耿济之","author"
"肇世(1945)","肇世","author"
"肯明斯(1945)","肯明斯","author"
"胡大庆(1945)","胡大庆","author"
"胡思濂(1945)","胡思濂","author"
"胡经纬(1945)","胡经纬","author"
"胡绳(1945)","胡绳","author"
"舒湮(1945)","舒湮","author"
"舜生(1945)","舜生","author"
"艾艾(1945)","艾艾","author"
"艾芜(1945)","艾芜","author"
"艾莤(1945)","艾莤","author"
"花西里(1945)","花西里","author"
"苏东(1945)","苏东","author"
"若愚(1945)","若愚","author"
"苦人(1945)","苦人","author"
"范樸斋(1945)","范樸斋","author"
"范蕙(1945)","范蕙","author"
"荃麟(1945)","荃麟","author"
"草草(1945)","草草","author"
"莊稼(1945)","莊稼","author"
"莫同尧(1945)","莫同尧","author"
"莫启欧(1945)","莫启欧","author"
"莫白水(1945)","莫白水","author"
"莫闻(1945)","莫闻","author"
"萧明(1945)","萧明","author"
"葛一虹(1945)","葛一虹","author"
"董浩(1945)","董浩","author"
"董渭川(1945)","董渭川","author"
"葭水(1945)","葭水","author"
"蒋畴余(1945)","蒋畴余","author"
"蒲作(1945)","蒲作","author"
"蒲岗(1945)","蒲岗","author"
"蓝光(1945)","蓝光","author"
"蔡楚生(1945)","蔡楚生","author"
"薛光前(1945)","薛光前","author"
"薛汕(1945)","薛汕","author"
"虞人平(1945)","虞人平","author"
"虞德林(1945)","虞德林","author"
"衍棣(1945)","衍棣","author"
"袁西华(1945)","袁西华","author"
"观察者(1945)","观察者","author"
"言复(1945)","言复","author"
"警予(1945)","警予","author"
"许傑(1945)","许傑","author"
"许寿裳(1945)","许寿裳","author"
"许杰(1945)","许杰","author"
"许癀平(1945)","许癀平","author"
"许若明(1945)","许若明","author"
"诸慧(1945)","诸慧","author"
"调孚(1945)","调孚","author"
"谢尚光(1945)","谢尚光","author"
"谷荣(1945)","谷荣","author"
"贝塞尔(1945)","贝塞尔","author"
"费哲(1945)","费哲","author"
"贺依(1945)","贺依","author"
"贺湄(1945)","贺湄","author"
"辛海(1945)","辛海","author"
"辛笛(1945)","辛笛","author"
"迈之(1945)","迈之","author"
"退知(1945)","退知","author"
"邓初氏(1945)","邓初氏","author"
"邵冲霄(1945)","邵冲霄","author"
"邵力子(1945)","邵力子","author"
"邵嘉陵(1945)","邵嘉陵","author"
"邵翰齐(1945)","邵翰齐","author"
"郑光昭(1945)","郑光昭","author"
"郑独步(1945)","郑独步","author"
"郭沬若(1945)","郭沬若","author"
"郭绍虞(1945)","郭绍虞","author"
"金向凡(1945)","金向凡","author"
"金枫(1945)","金枫","author"
"钟宣(1945)","钟宣","author"
"钟百频(1945)","钟百频","author"
"钱端升(1945)","钱端升","author"
"铁僧(1945)","铁僧","author"
"镜民(1945)","镜民","author"
"闻一多(1945)","闻一多","author"
"闻家駰(1945)","闻家駰","author"
"闻家驷(1945)","闻家驷","author"
"闾方(1945)","闾方","author"
"阿凌(1945)","阿凌","author"
"阿希敦(1945)","阿希敦","author"
"陆平(1945)","陆平","author"
"陆诒(1945)","陆诒","author"
"陆钦墀(1945)","陆钦墀","author"
"陆青(1945)","陆青","author"
"陈亦丹(1945)","陈亦丹","author"
"陈元良(1945)","陈元良","author"
"陈兆珂(1945)","陈兆珂","author"
"陈家康(1945)","陈家康","author"
"陈封雄(1945)","陈封雄","author"
"陈尚藩(1945)","陈尚藩","author"
"陈志中(1945)","陈志中","author"
"陈志忠(1945)","陈志忠","author"
"陈时臬(1945)","陈时臬","author"
"陈明文(1945)","陈明文","author"
"陈烟桥刻(1945)","陈烟桥刻","author"
"陈翰伯(1945)","陈翰伯","author"
"陈范(1945)","陈范","author"
"陈菊珍(1945)","陈菊珍","author"
"陈轲(1945)","陈轲","author"
"隐民(1945)","隐民","author"
"雨生(1945)","雨生","author"
"雷诺斯(1945)","雷诺斯","author"
"雷铭(1945)","雷铭","author"
"青蛉(1945)","青蛉","author"
"静远(1945)","静远","author"
"韦康(1945)","韦康","author"
"项黎(1945)","项黎","author"
"顿风(1945)","顿风","author"
"颂俞华(1945)","颂俞华","author"
"马义(1945)","马义","author"
"马代(1945)","马代","author"
"马叙伦(1945)","马叙伦","author"
"马哲民(1945)","马哲民","author"
"马戈(1945)","马戈","author"
"马歇尔(1945)","马歇尔","author"
"马歇尔特(1945)","马歇尔特","author"
"马远(1945)","马远","author"
"骆闻(1945)","骆闻","author"
"高光(1945)","高光","author"
"高克夫(1945)","高克夫","author"
"高克奇(1945)","高克奇","author"
"魏友棐(1945)","魏友棐","author"
"魏矢(1945)","魏矢","author"
"魏金枝(1945)","魏金枝","author"
"鱼目(1945)","鱼目","author"
"鲁小詹(1945)","鲁小詹","author"
"鲁山(1945)","鲁山","author"
"鲁迅(1945)","鲁迅","author"
"鲁逵(1945)","鲁逵","author"
"鲍乐蒂(1945)","鲍乐蒂","author"
"鲍尔温(1945)","鲍尔温","author"
"鲍鸿生(1945)","鲍鸿生","author"
"黄吉兴(1945)","黄吉兴","author"
"黄宗英(1945)","黄宗英","author"
"黄杉(1945)","黄杉","author"
"黄河清(1945)","黄河清","author"
"黄海(1945)","黄海","author"
"黄药眠(1945)","黄药眠","author"
"黄道庸(1945)","黄道庸","author"
"黎华(1945)","黎华","author"
"黎明(1945)","黎明","author"
"齐人(1945)","齐人","author"
"龙天峯(1945)","龙天峯","author"
"（印）约希(1945)","（印）约希","author"
"（美）安德鲁鲍思(1945)","（美）安德鲁鲍思","author"
"（美）福尔曼(1945)","（美）福尔曼","author"
"（美）蓝纳(1945)","（美）蓝纳","author"
"（苏）Dmitrevsky，N.(1945)","（苏）Dmitrevsky，N.","author"
"（英）马可里(1945)","（英）马可里","author"
"苏生(1946)","苏生","author"
"黄裳(1946)","黄裳","author"
"毅生(1946)","毅生","author"
"华叔甫(1946)","华叔甫","author"
"念青(1946)","念青","author"
"景宋(1946)","景宋","author"
"严景耀(1946)","严景耀","author"
"关夫(1946)","关夫","author"
"张东荪(1946)","张东荪","author"
"方艾(1946)","方艾","author"
"求思(1946)","求思","author"
"王艮仲(1946)","王艮仲","author"
"金大均(1946)","金大均","author"
"吴泽(1946)","吴泽","author"
"张君劢(1946)","张君劢","author"
"潘大逵(1946)","潘大逵","author"
"许寿裳(1946)","许寿裳","author"
"一波(1946)","一波","author"
"何肫林(1946)","何肫林","author"
"唐思礼(1946)","唐思礼","author"
"潘静(1946)","潘静","author"
"石啸冲(1946)","石啸冲","author"
"费孝通(1946)","费孝通","author"
"陈士华(1946)","陈士华","author"
"陈瘦竹(1946)","陈瘦竹","author"
"Donald_Morrow(1946)","Donald_Morrow","author"
"信民(1946)","信民","author"
"卢淑(1946)","卢淑","author"
"史国衡(1946)","史国衡","author"
"国超(1946)","国超","author"
"孙宝毅(1946)","孙宝毅","author"
"新武(1946)","新武","author"
"木耳(1946)","木耳","author"
"永生(1946)","永生","author"
"潘光旦(1946)","潘光旦","author"
"王时颖(1946)","王时颖","author"
"董秋斯(1946)","董秋斯","author"
"西谛(1946)","西谛","author"
"邹云涛(1946)","邹云涛","author"
"钱晓义(1946)","钱晓义","author"
"顾佩之(1946)","顾佩之","author"
"马叙伦(1946)","马叙伦","author"
"一知(1946)","一知","author"
"不移(1946)","不移","author"
"丕强(1946)","丕强","author"
"东衣(1946)","东衣","author"
"何之(1946)","何之","author"
"俞颂华(1946)","俞颂华","author"
"卞之琳(1946)","卞之琳","author"
"司马星(1946)","司马星","author"
"向凡(1946)","向凡","author"
"吴晗(1946)","吴晗","author"
"周公南(1946)","周公南","author"
"周建人(1946)","周建人","author"
"周琦(1946)","周琦","author"
"周而复(1946)","周而复","author"
"客尔纳(1946)","客尔纳","author"
"张霞飞(1946)","张霞飞","author"
"徐盈(1946)","徐盈","author"
"方治平(1946)","方治平","author"
"朱树锦(1946)","朱树锦","author"
"李广田(1946)","李广田","author"
"梁秋水(1946)","梁秋水","author"
"沈定一(1946)","沈定一","author"
"王之枚(1946)","王之枚","author"
"祝唯一(1946)","祝唯一","author"
"胡先驌(1946)","胡先驌","author"
"胡愈之(1946)","胡愈之","author"
"胡钊(1946)","胡钊","author"
"胡风(1946)","胡风","author"
"范登堡(1946)","范登堡","author"
"萧公权(1946)","萧公权","author"
"蔡尚思(1946)","蔡尚思","author"
"赤峰(1946)","赤峰","author"
"赵志华(1946)","赵志华","author"
"赵渢(1946)","赵渢","author"
"邓初民(1946)","邓初民","author"
"郑振铎(1946)","郑振铎","author"
"郑森禹(1946)","郑森禹","author"
"陆诒(1946)","陆诒","author"
"陈梅卿(1946)","陈梅卿","author"
"高克奇(1946)","高克奇","author"
"黄春生(1946)","黄春生","author"
"丁易(1946)","丁易","author"
"丁聪(1946)","丁聪","author"
"丁静(1946)","丁静","author"
"万武(1946)","万武","author"
"丘哲(1946)","丘哲","author"
"东方晦之(1946)","东方晦之","author"
"乔峯(1946)","乔峯","author"
"云涛(1946)","云涛","author"
"任远(1946)","任远","author"
"任鸿隽(1946)","任鸿隽","author"
"伍啓元(1946)","伍啓元","author"
"何陋之(1946)","何陋之","author"
"余园(1946)","余园","author"
"侯北人(1946)","侯北人","author"
"傅菊人(1946)","傅菊人","author"
"克士(1946)","克士","author"
"冬予里(1946)","冬予里","author"
"冯友兰(1946)","冯友兰","author"
"刘西渭(1946)","刘西渭","author"
"千家驹(1946)","千家驹","author"
"史言(1946)","史言","author"
"吴世昌(1946)","吴世昌","author"
"吴恩裕(1946)","吴恩裕","author"
"吴靓云(1946)","吴靓云","author"
"周哲(1946)","周哲","author"
"唐旻(1946)","唐旻","author"
"夏衍(1946)","夏衍","author"
"夏迪蒙(1946)","夏迪蒙","author"
"孙起孟(1946)","孙起孟","author"
"孟木(1946)","孟木","author"
"宋宝山(1946)","宋宝山","author"
"宦乡(1946)","宦乡","author"
"寒松(1946)","寒松","author"
"小芒(1946)","小芒","author"
"少之(1946)","少之","author"
"希苓(1946)","希苓","author"
"张中府(1946)","张中府","author"
"张大雷(1946)","张大雷","author"
"张永久(1946)","张永久","author"
"张若达(1946)","张若达","author"
"张锡昌(1946)","张锡昌","author"
"彭泽民(1946)","彭泽民","author"
"徐仁道(1946)","徐仁道","author"
"戴镏龄(1946)","戴镏龄","author"
"拉斯基(1946)","拉斯基","author"
"拾风(1946)","拾风","author"
"文雏(1946)","文雏","author"
"方纾(1946)","方纾","author"
"施复亮(1946)","施复亮","author"
"晨曦(1946)","晨曦","author"
"更生(1946)","更生","author"
"朱俊岐(1946)","朱俊岐","author"
"李列(1946)","李列","author"
"李战林(1946)","李战林","author"
"李敏(1946)","李敏","author"
"李浩培(1946)","李浩培","author"
"李章达(1946)","李章达","author"
"杜律斯(1946)","杜律斯","author"
"杨刚(1946)","杨刚","author"
"杨西孟(1946)","杨西孟","author"
"林汉达(1946)","林汉达","author"
"林砺儒(1946)","林砺儒","author"
"林萼(1946)","林萼","author"
"梁纯夫(1946)","梁纯夫","author"
