"Id","Label"
"黎舫(1945)","黎舫"
"Bercovici，K.(1945)","Bercovici，K."
"Clark，B.(1945)","Clark，B."
"F._Geyrasi(1945)","F._Geyrasi"
"Hogg，P.(1945)","Hogg，P."
"Milner，I.(1945)","Milner，I."
"一学生(1945)","一学生"
"一生(1945)","一生"
"丁一(1945)","丁一"
"丁易(1945)","丁易"
"丁玲(1945)","丁玲"
"丁西林(1945)","丁西林"
"万影(1945)","万影"
"万英(1945)","万英"
"不耳(1945)","不耳"
"丘八大(1945)","丘八大"
"东方晦之(1945)","东方晦之"
"严亚明(1945)","严亚明"
"严信民(1945)","严信民"
"严克(1945)","严克"
"严奇(1945)","严奇"
"严景矅(1945)","严景矅"
"严问天(1945)","严问天"
"丹尼尔(1945)","丹尼尔"
"于蒪(1945)","于蒪"
"以君(1945)","以君"
"任华(1945)","任华"
"任四维(1945)","任四维"
"伊利奥特(1945)","伊利奥特"
"伍同伐(1945)","伍同伐"
"伍启元(1945)","伍启元"
"伯伟(1945)","伯伟"
"伯华(1945)","伯华"
"伯韩(1945)","伯韩"
"但维斯(1945)","但维斯"
"何其芳(1945)","何其芳"
"何惧(1945)","何惧"
"何方(1945)","何方"
"何达(1945)","何达"
"余伯约(1945)","余伯约"
"余剡溪(1945)","余剡溪"
"侯外卢(1945)","侯外卢"
"侯外庐(1945)","侯外庐"
"俊生(1945)","俊生"
"俞焕文(1945)","俞焕文"
"傅彬然(1945)","傅彬然"
"傅雷(1945)","傅雷"
"光军(1945)","光军"
"光涛(1945)","光涛"
"全杨(1945)","全杨"
"公健(1945)","公健"
"公孙未央(1945)","公孙未央"
"再生侯北人(1945)","再生侯北人"
"冯乃超(1945)","冯乃超"
"冯克(1945)","冯克"
"冯少山(1945)","冯少山"
"冶人(1945)","冶人"
"冷红(1945)","冷红"
"冷遹(1945)","冷遹"
"冷风(1945)","冷风"
"刘尊棋(1945)","刘尊棋"
"刘清扬(1945)","刘清扬"
"刘瑞林(1945)","刘瑞林"
"劳莹(1945)","劳莹"
"北人(1945)","北人"
"华臣(1945)","华臣"
"卢剑公(1945)","卢剑公"
"卢铎(1945)","卢铎"
"友非(1945)","友非"
"反对内战(1945)","反对内战"
"叔伟(1945)","叔伟"
"叔梁(1945)","叔梁"
"史国卫(1945)","史国卫"
"史笃(1945)","史笃"
"叶君(1945)","叶君"
"叶文雄(1945)","叶文雄"
"司马星(1945)","司马星"
"吉人(1945)","吉人"
"吕剑(1945)","吕剑"
"吕德润(1945)","吕德润"
"吴世昌(1945)","吴世昌"
"吴大琨(1945)","吴大琨"
"吴晓(1945)","吴晓"
"吴王琨(1945)","吴王琨"
"吴祖光(1945)","吴祖光"
"吴纪(1945)","吴纪"
"吴荣甲(1945)","吴荣甲"
"吴藻溪(1945)","吴藻溪"
"吴铁(1945)","吴铁"
"周依维(1945)","周依维"
"周先庚(1945)","周先庚"
"周振甫(1945)","周振甫"
"周斧冰(1945)","周斧冰"
"周波(1945)","周波"
"周煦良(1945)","周煦良"
"周知(1945)","周知"
"唐庆增(1945)","唐庆增"
"唐弢(1945)","唐弢"
"唐秉文(1945)","唐秉文"
"坦宁保姆(1945)","坦宁保姆"
"夏孟辉(1945)","夏孟辉"
"夏炎德(1945)","夏炎德"
"夏迪蒙(1945)","夏迪蒙"
"大愿(1945)","大愿"
"大荒(1945)","大荒"
"天凡(1945)","天凡"
"天父(1945)","天父"
"天顽(1945)","天顽"
"奥凯(1945)","奥凯"
"姚苏凤(1945)","姚苏凤"
"姜庆湘(1945)","姜庆湘"
"姜鹏翊(1945)","姜鹏翊"
"存真(1945)","存真"
"孙亚夫(1945)","孙亚夫"
"孙宝毅(1945)","孙宝毅"
"孙起孟(1945)","孙起孟"
"孟昌(1945)","孟昌"
"安约吾(1945)","安约吾"
"安逸(1945)","安逸"
"宣谛之(1945)","宣谛之"
"宦乡(1945)","宦乡"
"宧乡(1945)","宧乡"
"寿生(1945)","寿生"
"尊立(1945)","尊立"
