Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
陈北鸥(1946),陈北鸥,,author,author,"#B4B4B4",0,1,69,0,1,84,0.024858,3,0.437447,0.463446,0
陈孝威(1946),陈孝威,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
陈学文(1946),陈学文,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
陈守实(1946),陈守实,,author,author,"#B4B4B4",0,1,184,0,1,524,0.1295,3,0.504018,0.532287,0
陈定__(1946),陈定__,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
陈家康(1946),陈家康,,author,author,"#B4B4B4",0,2,207,0,2,549,0.139142,3,0.506856,0.537842,3090.556774
陈尔夀(1946),陈尔夀,,author,author,"#B4B4B4",0,1,184,0,1,524,0.1295,3,0.504018,0.532287,0
陈尔强(1946),陈尔强,,author,author,"#B4B4B4",0,1,241,0,1,487,0.196457,3,0.495452,0.535749,0
陈希贤(1946),陈希贤,,author,author,"#B4B4B4",0,1,110,0,1,201,0.01923,3,0.446217,0.477536,0
陈平(1946),陈平,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
陈思鹰(1946),陈思鹰,,author,author,"#B4B4B4",0,1,77,0,1,119,0.035559,3,0.429639,0.45781,0
陈意(1946),陈意,,author,author,"#B4B4B4",0,1,69,0,1,84,0.024858,3,0.437447,0.463446,0
陈文川(1946),陈文川,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
陈曦(1946),陈曦,,author,author,"#B4B4B4",0,1,29,0,1,45,0.005474,3,0.412186,0.433655,0
陈柏心(1946),陈柏心,,author,author,"#B4B4B4",0,2,377,0,2,767,0.130773,3,0.496403,0.558293,25738.548346
陈梅卿等(1946),陈梅卿等,,author,author,"#B4B4B4",0,1,67,0,1,179,0.00524,3,0.378289,0.403543,0
陈正非(1946),陈正非,,author,author,"#B4B4B4",0,1,77,0,1,119,0.035559,3,0.429639,0.45781,0
陈永年(1946),陈永年,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
陈汝棠(1946),陈汝棠,,author,author,"#B4B4B4",0,1,141,0,1,262,0.031256,3,0.448926,0.484783,0
陈潮(1946),陈潮,,author,author,"#B4B4B4",0,1,141,0,1,262,0.031256,3,0.448926,0.484783,0
陈玉鸣(1946),陈玉鸣,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
陈瑾昆(1946),陈瑾昆,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
陈立复(1946),陈立复,,author,author,"#B4B4B4",0,1,241,0,1,487,0.196457,3,0.495452,0.535749,0
陈立夫(1946),陈立夫,,author,author,"#B4B4B4",0,1,67,0,1,179,0.00524,3,0.378289,0.403543,0
陈章甫(1946),陈章甫,,author,author,"#B4B4B4",0,1,110,0,1,201,0.01923,3,0.446217,0.477536,0
陈竺同(1946),陈竺同,,author,author,"#B4B4B4",0,1,110,0,1,201,0.01923,3,0.446217,0.477536,0
陈绍新(1946),陈绍新,,author,author,"#B4B4B4",0,1,141,0,1,262,0.031256,3,0.448926,0.484783,0
陈翰笙(1946),陈翰笙,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
陈肇育(1946),陈肇育,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
陈茹玄(1946),陈茹玄,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
陈虞孙(1946),陈虞孙,,author,author,"#B4B4B4",0,1,241,0,1,487,0.196457,3,0.495452,0.535749,0
陈言(1946),陈言,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
陈铭枢(1946),陈铭枢,,author,author,"#B4B4B4",0,1,141,0,1,262,0.031256,3,0.448926,0.484783,0
陈震中(1946),陈震中,,author,author,"#B4B4B4",0,1,241,0,1,487,0.196457,3,0.495452,0.535749,0
陈霞飞(1946),陈霞飞,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
陟崔(1946),陟崔,,author,author,"#B4B4B4",0,1,241,0,1,487,0.196457,3,0.495452,0.535749,0
陶大镛(1946),陶大镛,,author,author,"#B4B4B4",0,1,29,0,1,45,0.005474,3,0.412186,0.433655,0
陶孟和(1946),陶孟和,,author,author,"#B4B4B4",0,1,95,0,1,151,0.019676,3,0.425313,0.456763,0
隐扬(1946),隐扬,,author,author,"#B4B4B4",0,1,184,0,1,524,0.1295,3,0.504018,0.532287,0
雅洛伏伊(1946),雅洛伏伊,,author,author,"#B4B4B4",0,1,322,0,1,818,0.283156,3,0.490754,0.545572,0
雅洛斯拉夫斯基(1946),雅洛斯拉夫斯基,,author,author,"#B4B4B4",0,1,322,0,1,818,0.283156,3,0.490754,0.545572,0
雇均正(1946),雇均正,,author,author,"#B4B4B4",0,1,184,0,1,524,0.1295,3,0.504018,0.532287,0
雪明(1946),雪明,,author,author,"#B4B4B4",0,1,110,0,1,201,0.01923,3,0.446217,0.477536,0
雷剑锋(1946),雷剑锋,,author,author,"#B4B4B4",0,1,77,0,1,119,0.035559,3,0.429639,0.45781,0
雷天鸣(1946),雷天鸣,,author,author,"#B4B4B4",0,1,110,0,1,201,0.01923,3,0.446217,0.477536,0
雷洁琼(1946),雷洁琼,,author,author,"#B4B4B4",0,1,241,0,1,487,0.196457,3,0.495452,0.535749,0
