Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
忽视(1945),忽视,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
怀念(1945),怀念,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
态度(1945),态度,notion,0,3,3,0,3,3,0.084007,4,0.391735,0.431373,4252.368262
怎样才能(1945),怎样才能,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
怒吼(1945),怒吼,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
怒江(1945),怒江,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
思想解放(1945),思想解放,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
思过(1945),思过,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
急待(1945),急待,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
急政(1945),急政,notion,0,1,1,0,2,2,0.031173,4,0.298246,0.330943,0
急进(1945),急进,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
性格(1945),性格,notion,0,1,1,0,2,2,0.017046,4,0.27511,0.295698,0
性质(1945),性质,notion,0,2,2,0,2,2,0.025432,4,0.28645,0.313888,653.90498
怪火乎(1945),怪火乎,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
总统(1945),总统,notion,0,2,2,0,3,3,0.052834,4,0.329173,0.370523,1034.68486
总选(1945),总选,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
悲剧(1945),悲剧,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
悲怆(1945),悲怆,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
悲愤(1945),悲愤,notion,0,2,2,0,2,2,0.048732,4,0.325115,0.365784,1155.453821
悲是(1945),悲是,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
悲观(1945),悲观,notion,0,1,1,0,1,1,0.006694,4,0.258775,0.267015,0
悼念(1945),悼念,notion,0,1,1,0,2,2,0.017558,4,0.276219,0.297521,0
悼歌(1945),悼歌,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
悼词(1945),悼词,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
情势(1945),情势,notion,0,2,2,0,2,2,0.034958,4,0.300951,0.334913,688.305736
情形(1945),情形,notion,0,1,1,0,3,3,0.026572,4,0.290168,0.319276,0
情调(1945),情调,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
惨剧(1945),惨剧,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
惨案(1945),惨案,notion,0,3,3,0,6,6,0.074994,4,0.372038,0.414479,3678.778189
惨败(1945),惨败,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
惨遭(1945),惨遭,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
惩办(1945),惩办,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
惩奸(1945),惩奸,notion,0,1,1,0,2,2,0.031173,4,0.298246,0.330943,0
想想(1945),想想,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
意见(1945),意见,notion,0,4,4,0,5,5,0.092393,4,0.406441,0.443121,6691.546582
感事(1945),感事,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
感作(1945),感作,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
感功节(1945),感功节,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
感动(1945),感动,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
感想(1945),感想,notion,0,3,3,0,3,3,0.060866,4,0.342776,0.385796,2936.805165
感热(1945),感热,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
感言(1945),感言,notion,0,2,2,0,4,4,0.033267,4,0.297728,0.330416,532.944516
愿望(1945),愿望,notion,0,1,1,0,2,2,0.017046,4,0.27511,0.295698,0
慈东(1945),慈东,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
慎选(1945),慎选,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
慧眼(1945),慧眼,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
慰劳(1945),慰劳,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
慰问(1945),慰问,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
戏剧(1945),戏剧,notion,0,3,3,0,4,4,0.074994,4,0.372038,0.414479,3678.778189
成就(1945),成就,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
成效(1945),成效,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
成立(1945),成立,notion,0,4,4,0,5,5,0.067561,4,0.351084,0.394628,4343.783948
