Source,Target,Type,Id,Label,timeset,Weight,year,place,journal,MMNT-EdgeType
时事 (n),群岛 (n),Undirected,232370,notion-notion,,5,,,,notion<--->notion
时事 (n),联盟 (n),Undirected,232371,notion-notion,,5,,,,notion<--->notion
时事 (n),进入 (n),Undirected,232372,notion-notion,,12,,,,notion<--->notion
时事 (n),进行曲 (n),Undirected,232373,notion-notion,,5,,,,notion<--->notion
时事 (n),重大意义 (n),Undirected,232374,notion-notion,,5,,,,notion<--->notion
时事 (n),阿刺伯 (n),Undirected,232375,notion-notion,,5,,,,notion<--->notion
时事 (n),一半 (n),Undirected,232376,notion-notion,,7,,,,notion<--->notion
时事 (n),云雾 (n),Undirected,232377,notion-notion,,7,,,,notion<--->notion
时事 (n),光明 (n),Undirected,232378,notion-notion,,7,,,,notion<--->notion
时事 (n),冲向 (n),Undirected,232379,notion-notion,,7,,,,notion<--->notion
时事 (n),分割 (n),Undirected,232380,notion-notion,,7,,,,notion<--->notion
时事 (n),反法西斯战争 (n),Undirected,232381,notion-notion,,7,,,,notion<--->notion
时事 (n),哀悼 (n),Undirected,232382,notion-notion,,7,,,,notion<--->notion
时事 (n),团结合作 (n),Undirected,232383,notion-notion,,7,,,,notion<--->notion
时事 (n),处置 (n),Undirected,232384,notion-notion,,7,,,,notion<--->notion
时事 (n),巨星 (n),Undirected,232385,notion-notion,,7,,,,notion<--->notion
时事 (n),布置 (n),Undirected,232386,notion-notion,,7,,,,notion<--->notion
时事 (n),开朗 (n),Undirected,232387,notion-notion,,7,,,,notion<--->notion
时事 (n),循着 (n),Undirected,232388,notion-notion,,7,,,,notion<--->notion
时事 (n),持久和平 (n),Undirected,232389,notion-notion,,7,,,,notion<--->notion
时事 (n),整个 (n),Undirected,232390,notion-notion,,7,,,,notion<--->notion
时事 (n),新进展 (n),Undirected,232391,notion-notion,,7,,,,notion<--->notion
时事 (n),曲折 (n),Undirected,232392,notion-notion,,7,,,,notion<--->notion
时事 (n),满天 (n),Undirected,232393,notion-notion,,7,,,,notion<--->notion
时事 (n),照耀 (n),Undirected,232394,notion-notion,,7,,,,notion<--->notion
时事 (n),结团 (n),Undirected,232395,notion-notion,,7,,,,notion<--->notion
时事 (n),继续前进 (n),Undirected,232396,notion-notion,,7,,,,notion<--->notion
时事 (n),缔造 (n),Undirected,232397,notion-notion,,7,,,,notion<--->notion
时事 (n),艰难 (n),Undirected,232398,notion-notion,,7,,,,notion<--->notion
时事 (n),获得 (n),Undirected,232399,notion-notion,,7,,,,notion<--->notion
时事 (n),蔚蓝 (n),Undirected,232400,notion-notion,,7,,,,notion<--->notion
时事 (n),赢得 (n),Undirected,232401,notion-notion,,7,,,,notion<--->notion
时事 (n),起至 (n),Undirected,232402,notion-notion,,7,,,,notion<--->notion
时事 (n),路程 (n),Undirected,232403,notion-notion,,7,,,,notion<--->notion
时事 (n),轴心国 (n),Undirected,232404,notion-notion,,7,,,,notion<--->notion
时事 (n),还有 (n),Undirected,232405,notion-notion,,7,,,,notion<--->notion
时事 (n),错过机会 (n),Undirected,232406,notion-notion,,7,,,,notion<--->notion
时事 (n),苏军 (n),Undirected,232407,notion-notion,,1,,,,notion<--->notion
时事 (n),一九四四年 (n),Undirected,232408,notion-notion,,1,,,,notion<--->notion
解剖 (n),民主 (n),Undirected,232409,notion-notion,,7,,,,notion<--->notion
解剖 (n),世界 (n),Undirected,232410,notion-notion,,14,,,,notion<--->notion
解剖 (n),中国 (n),Undirected,232411,notion-notion,,7,,,,notion<--->notion
解剖 (n),胜利 (n),Undirected,232412,notion-notion,,14,,,,notion<--->notion
解剖 (n),会议 (n),Undirected,232413,notion-notion,,7,,,,notion<--->notion
解剖 (n),国际 (n),Undirected,232414,notion-notion,,8,,,,notion<--->notion
解剖 (n),问题 (n),Undirected,232415,notion-notion,,7,,,,notion<--->notion
解剖 (n),和平 (n),Undirected,232416,notion-notion,,14,,,,notion<--->notion
解剖 (n),战局 (n),Undirected,232417,notion-notion,,14,,,,notion<--->notion
解剖 (n),欧洲 (n),Undirected,232418,notion-notion,,7,,,,notion<--->notion
解剖 (n),一次 (n),Undirected,232419,notion-notion,,14,,,,notion<--->notion
解剖 (n),三十一日 (n),Undirected,232420,notion-notion,,14,,,,notion<--->notion
解剖 (n),不要 (n),Undirected,232421,notion-notion,,14,,,,notion<--->notion
解剖 (n),协调 (n),Undirected,232422,notion-notion,,14,,,,notion<--->notion
解剖 (n),国内 (n),Undirected,232423,notion-notion,,14,,,,notion<--->notion
解剖 (n),阶段 (n),Undirected,232424,notion-notion,,14,,,,notion<--->notion
解剖 (n),战争 (n),Undirected,232425,notion-notion,,7,,,,notion<--->notion
解剖 (n),罗斯福 (n),Undirected,232426,notion-notion,,7,,,,notion<--->notion
解剖 (n),前途 (n),Undirected,232427,notion-notion,,7,,,,notion<--->notion
解剖 (n),亚洲 (n),Undirected,232428,notion-notion,,7,,,,notion<--->notion
解剖 (n),决定 (n),Undirected,232429,notion-notion,,7,,,,notion<--->notion
解剖 (n),需要 (n),Undirected,232430,notion-notion,,7,,,,notion<--->notion
解剖 (n),克里米亚 (n),Undirected,232431,notion-notion,,7,,,,notion<--->notion
解剖 (n),不能 (n),Undirected,232432,notion-notion,,7,,,,notion<--->notion
解剖 (n),道路 (n),Undirected,232433,notion-notion,,7,,,,notion<--->notion
解剖 (n),进步 (n),Undirected,232434,notion-notion,,7,,,,notion<--->notion
解剖 (n),激荡 (n),Undirected,232435,notion-notion,,7,,,,notion<--->notion
解剖 (n),一段 (n),Undirected,232436,notion-notion,,7,,,,notion<--->notion
解剖 (n),总统 (n),Undirected,232437,notion-notion,,7,,,,notion<--->notion
解剖 (n),浪潮 (n),Undirected,232438,notion-notion,,7,,,,notion<--->notion
解剖 (n),进入 (n),Undirected,232439,notion-notion,,7,,,,notion<--->notion
解剖 (n),一半 (n),Undirected,232440,notion-notion,,7,,,,notion<--->notion
解剖 (n),云雾 (n),Undirected,232441,notion-notion,,7,,,,notion<--->notion
解剖 (n),光明 (n),Undirected,232442,notion-notion,,7,,,,notion<--->notion
解剖 (n),冲向 (n),Undirected,232443,notion-notion,,7,,,,notion<--->notion
解剖 (n),分割 (n),Undirected,232444,notion-notion,,7,,,,notion<--->notion
解剖 (n),反法西斯战争 (n),Undirected,232445,notion-notion,,7,,,,notion<--->notion
