Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
罗涵先(1949),罗涵先,,author,0,2,14,16,0.171343,5,0.429234,0.475405,27.810126
羊群(1949),羊群,,author,0,1,0,0,0,0,0,0,0
翁独健(1949),翁独健,,author,0,4,41,55,0.73673,5,0.501355,0.577207,155.513129
胡仲持(1949),胡仲持,,author,0,1,1,1,0.00029,1,1,1,0
胡守愚(1949),胡守愚,,author,0,3,12,24,0.054081,5,0.40393,0.447477,48.861239
胡绳(1949),胡绳,,author,0,4,8,12,0.061758,5,0.396996,0.437297,15.514271
胡遇复(1949),胡遇复,,author,0,4,21,37,0.134123,5,0.422374,0.485946,84.586742
艾苦鋆(1949),艾苦鋆,,author,0,5,0,0,0,0,0,0,0
苏复洛夫(1949),苏复洛夫,,author,0,2,18,26,0.112538,5,0.404814,0.464324,31.24222
萧贤(1949),萧贤,,author,0,7,7,11,0.058189,5,0.383023,0.421532,0
董冰如(1949),董冰如,,author,0,11,33,123,0.560556,4,0.465995,0.536937,84.223735
蒋生(1949),蒋生,,author,0,2,1,1,0.002157,6,0.292722,0.307117,0
蒙若(1949),蒙若,,author,0,2,0,0,0,0,0,0,0
蕾谷(1949),蕾谷,,author,0,3,1,1,0.00029,1,1,1,0
讷庵(1949),讷庵,,author,0,8,0,0,0,0,0,0,0
谷新(1949),谷新,,author,0,5,0,0,0,0,0,0,0
谷新之(1949),谷新之,,author,0,5,13,15,0.155138,5,0.430233,0.474505,39.624537
费孝通(1949),费孝通,,author,0,6,26,35,0.345039,5,0.443645,0.510541,101.51968
赵志华(1949),赵志华,,author,0,2,8,12,0.079427,5,0.397849,0.436216,10.15289
辛圭(1949),辛圭,,author,0,4,3,3,0.023856,6,0.349716,0.376216,0
辛斤(1949),辛斤,,author,0,2,0,0,0,0,0,0,0
辽远(1949),辽远,,author,0,4,3,3,0.002397,5,0.289062,0.31045,4.64095
邵二(1949),邵二,,author,0,4,9,10,0.038275,5,0.392781,0.430811,186.2929
邹风(1949),邹风,,author,0,6,35,49,0.70227,5,0.478036,0.550631,163.001117
郑铁村(1949),郑铁村,,author,0,3,2,3,0.009041,5,0.323993,0.344414,2.018995
郑铁邨(1949),郑铁邨,,author,0,1,3,3,0.002661,6,0.285054,0.304144,0
郭梅荪(1949),郭梅荪,,author,0,3,1,11,0.019829,6,0.341328,0.363333,0
郭沫若(1949),郭沫若,,author,0,2,1,1,0.001267,6,0.274074,0.287658,0
郭绍虞(1949),郭绍虞,,author,0,4,44,100,0.848202,4,0.506849,0.584685,30.249872
钱塘令(1949),钱塘令,,author,0,3,1,1,0.00029,1,1,1,0
钱端升(1949),钱端升,,author,0,3,4,6,0.029376,5,0.360624,0.391982,0.544231
阮富乙(1949),阮富乙,,author,0,3,13,15,0.079571,5,0.390295,0.439369,0
陈惠生(1949),陈惠生,,author,0,4,10,21,0.06163,5,0.405702,0.448108,9.823644
陈望道(1949),陈望道,,author,0,3,44,100,0.848202,4,0.506849,0.584685,30.249872
陈正兴(1949),陈正兴,,author,0,4,2,4,0.018908,5,0.330948,0.353694,0.5
