Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
鲁逵(1946),鲁逵,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
鲁风(1946),鲁风,,author,"#B4B4B4",0,1,91,0,1,142,0.053017,3,0.505792,0.532761,0
麦逸(1946),麦逸,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
黄德馨(1946),黄德馨,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
黄秋(1946),黄秋,,author,"#B4B4B4",0,1,69,0,1,84,0.04881,3,0.457642,0.491094,0
黄醒华(1946),黄醒华,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
黄静(1946),黄静,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
黎堡(1946),黎堡,,author,"#B4B4B4",0,1,91,0,1,142,0.053017,3,0.505792,0.532761,0
黎宾(1946),黎宾,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
黎望(1946),黎望,,author,"#B4B4B4",0,1,77,0,1,119,0.045653,3,0.444633,0.482983,0
黎民子(1946),黎民子,,author,"#B4B4B4",0,1,91,0,1,142,0.053017,3,0.505792,0.532761,0
黎群(1946),黎群,,author,"#B4B4B4",0,1,91,0,1,142,0.053017,3,0.505792,0.532761,0
齐人(1946),齐人,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
龙潜(1946),龙潜,,author,"#B4B4B4",0,1,80,0,1,292,0.030021,3,0.467857,0.502545,0
（德）马尔苦赛(1946),（德）马尔苦赛,,author,"#B4B4B4",0,1,95,0,1,151,0.037808,3,0.431987,0.477735,0
（意）Fenoaltea，S.(1946),（意）Fenoaltea，S.,,author,"#B4B4B4",0,1,77,0,1,119,0.045653,3,0.444633,0.482983,0
（美）李普曼(1946),（美）李普曼,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
（美）杰克·伦敦(1946),（美）杰克·伦敦,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
（美）贝尔纳斯(1946),（美）贝尔纳斯,,author,"#B4B4B4",0,1,80,0,1,292,0.030021,3,0.467857,0.502545,0
（苏）密哈洛夫(1946),（苏）密哈洛夫,,author,"#B4B4B4",0,1,77,0,1,119,0.045653,3,0.444633,0.482983,0
（英）索莱(1946),（英）索莱,,author,"#B4B4B4",0,1,52,0,1,85,0.032827,3,0.41803,0.451177,0
