Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
制宪会议 (n),制宪会议,,notion,1,0,1,1,0,1,0.002216,10,0.205462,0.217002,0
文官 (n),文官,,notion,1,0,1,1,0,1,0.002216,10,0.205462,0.217002,0
第一段 (n),第一段,,notion,1,0,1,1,0,1,0.002216,10,0.205462,0.217002,0
余孟如(1947),余孟如,,author,0,3,3,0,3,3,0.012931,9,0.239701,0.258987,2554.203648
余所亚(1947),余所亚,,author,0,5,5,0,5,5,0.002332,11,0.173316,0.181377,21658
一贩狗者 (n),一贩狗者,,notion,1,0,1,1,0,1,0.000526,12,0.147719,0.152503,0
墓碑 (n),墓碑,,notion,1,0,1,1,0,1,0.000526,12,0.147719,0.152503,0
必杀 (n),必杀,,notion,1,0,1,1,0,1,0.000526,12,0.147719,0.152503,0
狗逾千 (n),狗逾千,,notion,1,0,1,1,0,1,0.000526,12,0.147719,0.152503,0
余才友(1947),余才友,,author,0,5,5,0,5,5,0.002289,11,0.174556,0.181878,11135.030935
人文 (n),人文,,notion,1,0,1,1,0,1,0.000525,12,0.148619,0.152978,0
梅月涵 (n),梅月涵,,notion,1,0,1,1,0,1,0.000525,12,0.148619,0.152978,0
清华大学 (n),清华大学,,notion,2,0,2,2,0,2,0.001975,11,0.189611,0.199592,4814.895004
潘光旦 (n),潘光旦,,notion,2,0,2,2,0,2,0.001103,10,0.179698,0.187561,1619.69377
余景文(1947),余景文,,author,0,5,5,0,5,5,0.012651,10,0.231288,0.249361,8845.003343
由来 (n),由来,,notion,1,0,1,1,0,1,0.00081,11,0.187849,0.197037,0
余纪泽(1947),余纪泽,,author,0,2,2,0,2,2,0.000791,1,1,1,1
陈明仁 (n),陈明仁,,notion,1,0,1,1,0,1,0.000424,2,0.666667,0.75,0
鬍子 (n),鬍子,,notion,1,0,1,1,0,1,0.000424,2,0.666667,0.75,0
余长甲(1947),余长甲,,author,0,3,3,0,3,3,0.0013,11,0.17062,0.177327,5628.947013
原价 (n),原价,,notion,1,0,1,1,0,1,0.000458,12,0.145755,0.149869,0
爲何 (n),爲何,,notion,2,0,2,2,0,2,0.002248,10,0.204949,0.216271,9870.511318
维持 (n),维持,,notion,2,0,2,2,0,2,0.001079,11,0.176249,0.183682,1171.567178
佚名(1947),佚名,,author,0,10,10,0,10,10,0.014649,10,0.23789,0.25749,28322.319835
太阳旗 (n),太阳旗,,notion,1,0,1,1,0,1,0.000967,11,0.192181,0.201962,0
富士山 (n),富士山,,notion,1,0,1,1,0,1,0.000967,11,0.192181,0.201962,0
重新 (n),重新,,notion,3,0,3,3,0,3,0.005394,10,0.217646,0.230559,984.565718
飘摇 (n),飘摇,,notion,1,0,1,1,0,1,0.000967,11,0.192181,0.201962,0
侯朗如(1947),侯朗如,,author,0,4,4,0,4,4,0.007369,10,0.22363,0.239564,2540.243678
侯绍章(1947),侯绍章,,author,0,4,4,0,4,4,0.007324,9,0.220517,0.236056,7570.388706
保生(1947),保生,,author,0,3,3,0,3,3,0.001224,12,0.136013,0.139464,10831
房屋 (n),房屋,,notion,1,0,1,1,0,1,0.000456,13,0.119731,0.122021,0
麦粉 (n),麦粉,,notion,1,0,1,1,0,1,0.000456,13,0.119731,0.122021,0
俞仲(1947),俞仲,,author,0,4,4,0,4,4,0.004146,10,0.212757,0.226484,5909.268834
逆转 (n),逆转,,notion,1,0,1,1,0,1,0.000554,11,0.175438,0.182781,0
俞大栋(1947),俞大栋,,author,0,2,2,0,2,2,0.001017,11,0.155433,0.160712,5416
择肥而噬 (n),择肥而噬,,notion,1,0,1,1,0,1,0.000433,12,0.134527,0.137861,0
俞寰澄(1947),俞寰澄,,author,0,5,5,0,5,5,0.003254,11,0.195736,0.205806,11118.495855
与非 (n),与非,,notion,1,0,1,1,0,1,0.000551,12,0.1637,0.169315,0
俞平伯(1947),俞平伯,,author,0,2,2,0,2,2,0.00196,11,0.194067,0.202769,21652
俞庆棠(1947),俞庆棠,,author,0,3,3,0,3,3,0.003666,10,0.201593,0.212811,6036.797749
民教 (n),民教,,notion,1,0,1,1,0,1,0.000527,11,0.167777,0.173919,0
俞颂华(1947),俞颂华,,author,0,5,5,0,5,5,0.007492,10,0.219819,0.234724,10978.644894
信义(1947),信义,,author,0,8,8,0,8,8,0.005598,10,0.210852,0.224536,34417.54152
史塔森 (n),史塔森,,notion,1,0,1,1,0,1,0.000671,11,0.174141,0.1814,0
倪正和(1947),倪正和,,author,0,3,3,0,3,3,0.005351,9,0.218014,0.23238,7975.031696
树立 (n),树立,,notion,2,0,2,2,0,2,0.002709,10,0.209401,0.221117,336.817932
傅传经(1947),傅传经,,author,0,2,2,0,2,2,0.001024,11,0.178244,0.185699,5416
一套 (n),一套,,notion,1,0,1,1,0,1,0.000431,12,0.151283,0.15578,0
傅奇(1947),傅奇,,author,0,2,2,0,2,2,0.000903,11,0.157925,0.163648,5416
傅孟真(1947),傅孟真,,author,0,4,4,0,4,4,0.00271,10,0.19676,0.206116,5740.050624
豪门 (n),豪门,,notion,6,0,6,6,0,6,0.006414,10,0.213024,0.226404,10780.592289
内蒙 (n),内蒙,,notion,1,0,1,1,0,1,0.000725,11,0.187589,0.196584,0
省旗 (n),省旗,,notion,1,0,1,1,0,1,0.000725,11,0.187589,0.196584,0
傅省三(1947),傅省三,,author,0,1,1,0,1,1,0.000424,2,0.666667,0.75,0
海门 (n),海门,,notion,2,0,2,2,0,2,0.000791,1,1,1,1
傅统先(1947),傅统先,,author,0,2,2,0,2,2,0.009294,9,0.234006,0.25212,456.370618
傅菊人(1947),傅菊人,,author,0,5,5,0,5,5,0.005297,11,0.197823,0.210046,14082.843986
电话网 (n),电话网,,notion,1,0,1,1,0,1,0.000615,12,0.165157,0.171845,0
傅雷(1947),傅雷,,author,0,3,3,0,3,3,0.001701,11,0.186555,0.194309,5599.480884
亲苏 (n),亲苏,,notion,2,0,2,2,0,2,0.002348,10,0.198782,0.209574,1819.117653
反帝 (n),反帝,,notion,1,0,1,1,0,1,0.00047,12,0.157229,0.161754,0
储伟(1947),储伟,,author,0,2,2,0,2,2,0.000791,1,1,1,1
散沙 (n),散沙,,notion,1,0,1,1,0,1,0.000424,2,0.666667,0.75,0
集合起来 (n),集合起来,,notion,1,0,1,1,0,1,0.000424,2,0.666667,0.75,0
下午 (n),下午,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
不妥 (n),不妥,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
中所 (n),中所,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
偏私 (n),偏私,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
健康 (n),健康,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
入学 (n),入学,,notion,2,0,2,2,0,2,0.004019,10,0.206118,0.218962,2907.045956
准其 (n),准其,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
