Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
收复区(1947),收复区,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
收拾(1947),收拾,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
收油(1947),收油,notion,0,1,1,0,1,1,0.007422,4,0.26356,0.275695,0
收获(1947),收获,notion,0,2,2,0,2,2,0.017299,4,0.278915,0.301865,688.562525
收购(1947),收购,notion,0,2,2,0,2,2,0.024745,4,0.295069,0.3264,2684.608967
收费(1947),收费,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
改出(1947),改出,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
改制(1947),改制,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
改变(1947),改变,notion,0,3,3,0,3,3,0.032361,4,0.30646,0.342207,6339.208536
改善(1947),改善,notion,0,2,2,0,2,2,0.028302,4,0.298866,0.331783,1965.8222
改善生活(1947),改善生活,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
改用(1947),改用,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
改省(1947),改省,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
改良主义(1947),改良主义,notion,0,1,1,0,1,1,0.004749,4,0.257108,0.263793,0
改订(1947),改订,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
改进(1947),改进,notion,0,3,3,0,10,10,0.035724,4,0.311778,0.349165,5959.110786
改选(1947),改选,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
改革方案(1947),改革方案,notion,0,3,3,0,3,3,0.028006,4,0.292339,0.322506,2276.459601
攻入(1947),攻入,notion,0,2,2,0,2,2,0.020265,4,0.284375,0.310471,1611.931322
攻击(1947),攻击,notion,0,3,3,0,3,3,0.040439,4,0.318885,0.3581,5349.74038
攻占(1947),攻占,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
攻守(1947),攻守,notion,0,2,2,0,2,2,0.017299,4,0.278915,0.301865,688.562525
放任(1947),放任,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
放弃(1947),放弃,notion,0,2,2,0,3,3,0.023257,4,0.28761,0.315414,1169.271875
放远(1947),放远,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
放逐(1947),放逐,notion,0,2,2,0,2,2,0.031404,4,0.30602,0.34156,2430.025091
政争(1947),政争,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
政党政治(1947),政党政治,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
政军(1947),政军,notion,0,2,2,0,2,2,0.031404,4,0.30602,0.34156,2430.025091
政变(1947),政变,notion,0,6,6,0,7,7,0.074805,4,0.38551,0.426029,26492.047034
政客(1947),政客,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
政情(1947),政情,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
政本(1947),政本,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
政权(1947),政权,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
政权机关(1947),政权机关,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
政治危机(1947),政治危机,notion,0,2,2,0,2,2,0.031545,4,0.305336,0.340645,2219.908318
政治家(1947),政治家,notion,0,1,1,0,1,1,0.003588,4,0.255396,0.260534,0
政治犯(1947),政治犯,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
政治路线(1947),政治路线,notion,0,2,2,0,2,2,0.023767,4,0.289685,0.318527,1452.186204
政治阴谋(1947),政治阴谋,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
政界(1947),政界,notion,0,2,2,0,2,2,0.024542,4,0.292264,0.322335,1826.657886
政略(1947),政略,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
政纲(1947),政纲,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
政论(1947),政论,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
政院(1947),政院,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
故乡(1947),故乡,notion,0,2,2,0,2,2,0.02494,4,0.292941,0.323324,1747.290038
故国(1947),故国,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
故都(1947),故都,notion,0,2,2,0,3,3,0.027932,4,0.299811,0.333101,2443.455357
效弃(1947),效弃,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
效果(1947),效果,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
